instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret,time_limit_SAA
j30_9,proactive,1,35,inf,93.0,100.0,
j30_9,proactive,1,36,inf,113.0,100.0,
j30_9,proactive,1,37,inf,101.0,100.0,
j30_9,proactive,1,38,inf,99.0,100.0,
j30_9,proactive,1,39,inf,inf,0.0,
j30_9,proactive,1,40,inf,96.0,100.0,
j30_9,proactive,1,41,inf,inf,0.0,
j30_9,proactive,1,42,inf,101.0,100.0,
j30_9,proactive,1,43,inf,92.0,100.0,
j30_9,proactive,1,44,inf,inf,0.0,
j30_9,proactive,1,45,inf,106.0,100.0,
j30_9,proactive,1,46,inf,97.0,100.0,
j30_9,proactive,1,47,inf,115.0,100.0,
j30_9,proactive,1,48,inf,110.0,100.0,
j30_9,proactive,1,49,inf,105.0,100.0,
j30_1,proactive,2,0,inf,inf,0.0,600.0
j30_1,proactive,2,1,inf,inf,0.0,600.0
j30_1,proactive,2,2,inf,inf,0.0,600.0
j30_1,proactive,2,3,inf,inf,0.0,600.0
j30_1,proactive,2,4,inf,inf,0.0,600.0
j30_1,proactive,2,5,inf,inf,0.0,600.0
j30_1,proactive,2,6,inf,inf,0.0,600.0
j30_1,proactive,2,7,inf,inf,0.0,600.0
j30_1,proactive,2,8,inf,inf,0.0,600.0
j30_1,proactive,2,9,inf,inf,0.0,600.0
j30_1,proactive,2,10,inf,inf,0.0,600.0
j30_1,proactive,2,11,inf,inf,0.0,600.0
j30_1,proactive,2,12,inf,inf,0.0,600.0
j30_1,proactive,2,13,inf,inf,0.0,600.0
j30_1,proactive,2,14,inf,inf,0.0,600.0
j30_1,proactive,2,15,inf,inf,0.0,600.0
j30_1,proactive,2,16,inf,inf,0.0,600.0
j30_1,proactive,2,17,inf,inf,0.0,600.0
j30_1,proactive,2,18,inf,inf,0.0,600.0
j30_1,proactive,2,19,inf,inf,0.0,600.0
j30_1,proactive,2,20,inf,inf,0.0,600.0
j30_1,proactive,2,21,inf,inf,0.0,600.0
j30_1,proactive,2,22,inf,inf,0.0,600.0
j30_1,proactive,2,23,inf,inf,0.0,600.0
j30_1,proactive,2,24,inf,inf,0.0,600.0
j30_1,proactive,2,25,inf,inf,0.0,600.0
j30_1,proactive,2,26,inf,inf,0.0,600.0
j30_1,proactive,2,27,inf,inf,0.0,600.0
j30_1,proactive,2,28,inf,inf,0.0,600.0
j30_1,proactive,2,29,inf,inf,0.0,600.0
j30_1,proactive,2,30,inf,inf,0.0,600.0
j30_1,proactive,2,31,inf,inf,0.0,600.0
j30_1,proactive,2,32,inf,inf,0.0,600.0
j30_1,proactive,2,33,inf,inf,0.0,600.0
j30_1,proactive,2,34,inf,inf,0.0,600.0
j30_1,proactive,2,35,inf,inf,0.0,600.0
j30_1,proactive,2,36,inf,inf,0.0,600.0
j30_1,proactive,2,37,inf,inf,0.0,600.0
j30_1,proactive,2,38,inf,inf,0.0,600.0
j30_1,proactive,2,39,inf,inf,0.0,600.0
j30_1,proactive,2,40,inf,inf,0.0,600.0
j30_1,proactive,2,41,inf,inf,0.0,600.0
j30_1,proactive,2,42,inf,inf,0.0,600.0
j30_1,proactive,2,43,inf,inf,0.0,600.0
j30_1,proactive,2,44,inf,inf,0.0,600.0
j30_1,proactive,2,45,inf,inf,0.0,600.0
j30_1,proactive,2,46,inf,inf,0.0,600.0
j30_1,proactive,2,47,inf,inf,0.0,600.0
j30_1,proactive,2,48,inf,inf,0.0,600.0
j30_1,proactive,2,49,inf,inf,0.0,600.0
j30_2,proactive,2,0,inf,inf,0.0,600.0
j30_2,proactive,2,1,inf,92.0,100.0,600.0
j30_2,proactive,2,2,inf,99.0,100.0,600.0
j30_2,proactive,2,3,inf,inf,0.0,600.0
j30_2,proactive,2,4,inf,81.0,100.0,600.0
j30_2,proactive,2,5,inf,inf,0.0,600.0
j30_2,proactive,2,6,inf,inf,0.0,600.0
j30_2,proactive,2,7,inf,inf,0.0,600.0
j30_2,proactive,2,8,inf,inf,0.0,600.0
j30_2,proactive,2,9,inf,inf,0.0,600.0
j30_2,proactive,2,10,inf,84.0,100.0,600.0
j30_2,proactive,2,11,inf,inf,0.0,600.0
j30_2,proactive,2,12,inf,inf,0.0,600.0
j30_2,proactive,2,13,inf,inf,0.0,600.0
j30_2,proactive,2,14,inf,inf,0.0,600.0
j30_2,proactive,2,15,inf,inf,0.0,600.0
j30_2,proactive,2,16,inf,inf,0.0,600.0
j30_2,proactive,2,17,inf,inf,0.0,600.0
j30_2,proactive,2,18,inf,inf,0.0,600.0
j30_2,proactive,2,19,inf,inf,0.0,600.0
