,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
40,j30,5,0,"[0, 7, 1, 5, 3, 9, 11, 2, 1, 2, 2, 1, 6, 1, 9, 4, 2, 4, 9, 1, 12, 2, 7, 9, 5, 10, 7, 7, 4, 1, 1, 0]",10,0.0,Infeasible,,
41,j30,5,1,"[0, 5, 2, 5, 3, 7, 11, 1, 1, 3, 3, 1, 5, 1, 6, 2, 1, 3, 8, 1, 8, 2, 5, 8, 4, 11, 6, 4, 5, 1, 1, 0]",10,0.05,Optimal,0.0,91.0
42,j30,5,2,"[0, 4, 2, 8, 6, 8, 10, 1, 1, 5, 3, 1, 7, 2, 5, 2, 2, 5, 7, 1, 8, 2, 5, 6, 5, 12, 9, 6, 3, 1, 2, 0]",10,0.0,Infeasible,,
43,j30,5,3,"[0, 4, 1, 7, 4, 7, 9, 1, 1, 4, 2, 1, 5, 2, 6, 3, 2, 5, 5, 1, 6, 2, 9, 7, 2, 9, 8, 3, 5, 1, 1, 0]",10,0.04,Optimal,0.0,89.0
44,j30,5,4,"[0, 7, 1, 9, 6, 7, 6, 1, 1, 4, 2, 1, 7, 2, 9, 3, 2, 3, 5, 1, 8, 1, 9, 5, 2, 7, 9, 4, 2, 1, 1, 0]",10,0.00999999,Infeasible,,
45,j30,5,5,"[0, 7, 2, 7, 6, 10, 8, 1, 1, 2, 3, 1, 7, 1, 7, 5, 2, 2, 6, 1, 8, 1, 5, 6, 4, 7, 9, 5, 2, 1, 2, 0]",10,0.0,Infeasible,,
46,j30,5,6,"[0, 4, 2, 5, 3, 9, 7, 2, 1, 6, 6, 1, 8, 1, 5, 5, 2, 2, 8, 1, 7, 3, 9, 5, 3, 6, 8, 4, 3, 1, 2, 0]",10,0.00999999,Infeasible,,
47,j30,5,7,"[0, 4, 1, 5, 6, 8, 11, 2, 1, 6, 4, 1, 5, 2, 8, 5, 2, 3, 6, 1, 8, 1, 8, 5, 4, 6, 9, 5, 6, 1, 1, 0]",10,0.0900002,Optimal,0.0,94.0
48,j30,5,8,"[0, 6, 1, 8, 2, 6, 10, 2, 1, 4, 3, 1, 5, 1, 8, 2, 2, 4, 9, 1, 10, 3, 8, 8, 5, 9, 7, 6, 5, 1, 2, 0]",10,0.0699999,Optimal,0.0,94.0
49,j30,5,9,"[0, 8, 2, 7, 6, 10, 6, 2, 1, 5, 2, 1, 8, 2, 6, 5, 1, 4, 7, 1, 8, 1, 7, 6, 2, 6, 9, 7, 3, 1, 2, 0]",10,0.0,Infeasible,,
50,j30,6,0,"[0, 11, 5, 7, 1, 4, 6, 11, 3, 5, 7, 7, 9, 6, 4, 10, 4, 7, 7, 8, 8, 6, 2, 4, 9, 6, 4, 1, 2, 3, 4, 0]",10,0.0,Infeasible,,
51,j30,6,1,"[0, 12, 3, 4, 2, 4, 4, 6, 7, 6, 6, 3, 8, 7, 3, 6, 5, 4, 5, 7, 10, 2, 2, 5, 9, 7, 7, 1, 1, 2, 7, 0]",10,0.0,Infeasible,,
52,j30,6,2,"[0, 7, 4, 3, 1, 4, 5, 8, 4, 5, 7, 6, 9, 8, 3, 9, 2, 3, 6, 6, 7, 5, 1, 4, 5, 5, 4, 1, 2, 2, 7, 0]",10,0.0,Infeasible,,
53,j30,6,3,"[0, 6, 2, 7, 2, 5, 7, 9, 6, 5, 9, 7, 8, 9, 6, 11, 6, 4, 4, 8, 8, 2, 2, 4, 9, 6, 4, 1, 1, 3, 8, 0]",10,0.0,Infeasible,,
54,j30,6,4,"[0, 10, 2, 7, 2, 7, 4, 6, 5, 8, 7, 5, 9, 9, 4, 8, 2, 4, 6, 6, 6, 3, 1, 6, 5, 6, 5, 1, 2, 2, 8, 0]",10,0.00999999,Infeasible,,
55,j30,6,5,"[0, 8, 2, 3, 2, 3, 4, 9, 4, 6, 11, 7, 9, 8, 2, 9, 2, 6, 5, 6, 11, 6, 2, 2, 5, 8, 4, 1, 2, 2, 4, 0]",10,0.0,Infeasible,,
56,j30,6,6,"[0, 12, 3, 3, 1, 5, 6, 10, 5, 5, 11, 6, 8, 6, 4, 10, 5, 3, 4, 8, 8, 6, 1, 4, 5, 8, 3, 1, 1, 1, 6, 0]",10,0.00999999,Infeasible,,
57,j30,6,7,"[0, 7, 2, 7, 1, 4, 5, 10, 7, 8, 9, 6, 8, 7, 5, 12, 5, 7, 7, 6, 10, 6, 1, 5, 8, 5, 6, 1, 2, 3, 5, 0]",10,0.0,Infeasible,,
58,j30,6,8,"[0, 6, 4, 5, 3, 3, 5, 12, 4, 9, 6, 7, 9, 6, 5, 7, 6, 4, 6, 5, 6, 2, 1, 6, 6, 5, 3, 1, 2, 2, 4, 0]",10,0.00999999,Infeasible,,
59,j30,6,9,"[0, 10, 5, 5, 1, 7, 6, 6, 3, 5, 10, 4, 9, 6, 4, 11, 4, 7, 7, 8, 10, 2, 2, 4, 9, 8, 7, 1, 1, 3, 7, 0]",10,0.0,Infeasible,,
60,j30,7,0,"[0, 2, 6, 1, 1, 5, 2, 9, 2, 3, 2, 7, 7, 5, 3, 1, 1, 1, 5, 1, 1, 1, 11, 3, 2, 8, 10, 8, 2, 2, 6, 0]",10,0.0,Optimal,0.0,72.0
61,j30,7,1,"[0, 1, 4, 2, 3, 2, 1, 11, 2, 4, 5, 11, 4, 3, 2, 1, 1, 2, 4, 1, 2, 1, 9, 3, 3, 5, 12, 9, 4, 2, 5, 0]",10,0.0,Infeasible,,
62,j30,7,2,"[0, 2, 6, 1, 1, 3, 2, 10, 3, 7, 2, 11, 6, 3, 4, 2, 1, 1, 8, 2, 3, 1, 8, 2, 2, 6, 9, 11, 2, 2, 5, 0]",10,0.0,Infeasible,,
63,j30,7,3,"[0, 2, 3, 1, 3, 4, 2, 7, 1, 5, 4, 12, 3, 2, 5, 2, 1, 2, 5, 2, 1, 1, 6, 2, 3, 9, 11, 8, 2, 2, 7, 0]",10,0.0,Infeasible,,
64,j30,7,4,"[0, 2, 3, 2, 1, 5, 1, 10, 2, 7, 3, 6, 7, 4, 2, 2, 1, 1, 8, 2, 2, 1, 6, 3, 2, 9, 6, 10, 3, 3, 8, 0]",10,0.0,Infeasible,,
65,j30,7,5,"[0, 2, 3, 1, 2, 4, 1, 10, 3, 5, 4, 6, 4, 4, 4, 1, 1, 1, 4, 1, 2, 1, 7, 3, 2, 5, 12, 11, 3, 2, 6, 0]",10,0.0,Infeasible,,
66,j30,7,6,"[0, 2, 7, 1, 1, 5, 2, 6, 2, 3, 3, 9, 4, 3, 4, 2, 1, 1, 8, 2, 3, 1, 11, 1, 5, 5, 9, 7, 4, 2, 8, 0]",10,0.0,Optimal,0.0,74.0
67,j30,7,7,"[0, 2, 3, 2, 1, 3, 2, 7, 2, 3, 4, 11, 3, 2, 4, 2, 1, 2, 8, 1, 3, 1, 6, 2, 5, 8, 9, 11, 3, 2, 6, 0]",10,0.0,Optimal,0.0,70.0
68,j30,7,8,"[0, 1, 6, 1, 3, 2, 2, 10, 3, 7, 4, 8, 3, 3, 5, 1, 1, 1, 8, 2, 3, 1, 7, 1, 2, 8, 6, 7, 4, 1, 8, 0]",10,0.0,Infeasible,,
