instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 4, 8, 10, 2, 7, 8, 2, 1, 1, 5, 9, 1, 4, 11, 9, 1, 2, 5, 2, 4, 1, 3, 7, 1, 3, 3, 1, 1, 2, 6, 0]","[0, 18, 35, 0, 29, 41, 32, 9, 26, 14, 0, 0, 27, 11, 0, 9, 40, 31, 42, 53, 31, 28, 26, 32, 40, 23, 37, 52, 40, 55, 56, 62]",0.6045780181884766,0.057446956634521484,robust,62.0
j30,11,STNU_robust,60,True,True,63.0,True,"[0, 7, 8, 11, 3, 9, 5, 2, 1, 1, 5, 7, 1, 5, 9, 10, 1, 3, 3, 1, 5, 2, 3, 8, 1, 1, 2, 2, 2, 3, 7, 0]","[0, 17, 34, 0, 29, 41, 32, 7, 24, 14, 0, 0, 25, 11, 0, 7, 40, 32, 42, 53, 29, 26, 26, 32, 40, 23, 37, 52, 39, 55, 56, 62]",0.6045780181884766,0.05823993682861328,robust,63.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 5, 9, 9, 5, 11, 5, 5, 1, 1, 7, 8, 1, 8, 12, 10, 1, 2, 7, 2, 4, 1, 4, 5, 1, 2, 4, 2, 1, 2, 4, 0]","[0, 18, 34, 0, 30, 40, 32, 8, 25, 14, 0, 0, 26, 13, 0, 8, 41, 35, 43, 53, 30, 27, 26, 32, 41, 23, 37, 52, 39, 56, 56, 62]",0.6045780181884766,0.05956292152404785,robust,62.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 3, 7, 10, 6, 6, 9, 3, 1, 1, 7, 6, 1, 4, 8, 9, 1, 2, 5, 1, 8, 3, 4, 5, 1, 2, 4, 1, 1, 3, 3, 0]","[0, 16, 38, 0, 30, 42, 32, 7, 25, 14, 0, 0, 26, 10, 0, 7, 41, 36, 43, 53, 30, 27, 26, 32, 41, 23, 37, 52, 41, 56, 56, 62]",0.6045780181884766,0.05738091468811035,robust,62.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 4, 7, 10, 2, 12, 6, 4, 1, 1, 4, 9, 1, 6, 6, 11, 1, 1, 4, 2, 4, 2, 5, 6, 1, 2, 4, 2, 1, 1, 6, 0]","[0, 20, 34, 0, 31, 40, 32, 9, 25, 14, 0, 0, 26, 13, 0, 9, 41, 33, 44, 53, 30, 27, 26, 32, 42, 23, 37, 52, 39, 57, 56, 62]",0.6045780181884766,0.05843687057495117,robust,62.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 3, 8, 6, 5, 7, 7, 5, 1, 1, 7, 5, 1, 4, 11, 9, 1, 2, 4, 2, 4, 3, 3, 5, 1, 1, 4, 2, 2, 1, 5, 0]","[0, 16, 33, 0, 29, 41, 32, 7, 24, 14, 0, 0, 25, 12, 0, 7, 41, 34, 42, 53, 29, 26, 26, 32, 40, 23, 37, 52, 39, 55, 56, 62]",0.6045780181884766,0.05833101272583008,robust,62.0
j30,11,STNU_robust,60,True,True,63.0,True,"[0, 3, 8, 9, 3, 8, 9, 5, 1, 1, 3, 5, 1, 8, 8, 10, 1, 3, 5, 1, 7, 1, 2, 9, 1, 2, 4, 2, 2, 1, 7, 0]","[0, 15, 37, 0, 28, 43, 32, 5, 25, 14, 0, 0, 26, 10, 0, 5, 41, 31, 43, 53, 30, 27, 26, 32, 41, 23, 37, 52, 41, 56, 56, 62]",0.6045780181884766,0.056826114654541016,robust,63.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 6, 5, 7, 4, 10, 9, 5, 1, 1, 6, 8, 1, 7, 9, 8, 1, 3, 6, 2, 8, 3, 2, 9, 1, 1, 5, 2, 1, 2, 4, 0]","[0, 16, 37, 0, 29, 42, 32, 8, 24, 14, 0, 0, 25, 13, 0, 8, 42, 33, 43, 53, 29, 26, 26, 32, 41, 23, 37, 52, 41, 56, 56, 62]",0.6045780181884766,0.05812716484069824,robust,62.0
j30,12,STNU_robust,60,True,True,51.0,True,"[0, 11, 9, 10, 6, 2, 3, 7, 3, 4, 5, 7, 5, 11, 8, 3, 4, 1, 6, 7, 8, 9, 1, 7, 4, 6, 5, 4, 4, 5, 6, 0]","[0, 7, 11, 0, 7, 21, 18, 0, 0, 18, 10, 27, 13, 0, 41, 13, 27, 22, 31, 25, 41, 39, 49, 39, 23, 21, 34, 21, 37, 25, 7, 51]",1.2092580795288086,0.05645608901977539,robust,46.0
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 12, 11, 7, 7, 2, 5, 5, 4, 4, 8, 4, 2, 6, 7, 4, 3, 1, 7, 4, 6, 8, 1, 3, 3, 5, 2, 5, 7, 2, 11, 0]","[0, 5, 7, 0, 5, 22, 17, 0, 0, 20, 7, 29, 18, 0, 43, 16, 29, 23, 32, 27, 43, 41, 50, 41, 24, 24, 33, 22, 39, 27, 7, 52]",1.2092580795288086,0.05691695213317871,robust,43.0
