,instance_folder,instance_id,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
274,j20,28,4,"[0, 6, 6, 5, 2, 7, 7, 8, 5, 2, 3, 7, 2, 2, 5, 1, 6, 2, 4, 8, 10, 0]",10,0.0,36.0,0.02,Optimal
275,j20,28,5,"[0, 7, 7, 4, 2, 8, 6, 10, 9, 5, 6, 7, 1, 1, 7, 1, 4, 2, 2, 7, 7, 0]",10,0.0,37.0,0.03,Optimal
276,j20,28,6,"[0, 4, 6, 8, 1, 4, 7, 7, 9, 3, 2, 8, 2, 2, 7, 1, 6, 2, 4, 8, 6, 0]",10,0.0,33.0,0.0300002,Optimal
277,j20,28,7,"[0, 5, 6, 6, 2, 4, 4, 8, 9, 4, 2, 11, 2, 2, 7, 2, 6, 1, 2, 11, 6, 0]",10,0.0,36.0,0.00999999,Optimal
278,j20,28,8,"[0, 5, 4, 5, 2, 5, 4, 12, 9, 2, 5, 11, 1, 2, 5, 2, 3, 1, 5, 11, 11, 0]",10,0.0,35.0,0.02,Optimal
279,j20,28,9,"[0, 8, 4, 4, 2, 7, 4, 7, 5, 4, 2, 10, 1, 2, 8, 1, 4, 1, 4, 6, 11, 0]",10,0.0,36.0,0.03,Optimal
280,j20,29,0,"[0, 11, 1, 5, 5, 7, 2, 4, 6, 5, 1, 2, 11, 7, 4, 2, 1, 4, 7, 1, 11, 0]",10,0.0,49.0,0.02,Optimal
281,j20,29,1,"[0, 8, 1, 8, 2, 8, 1, 6, 10, 5, 2, 2, 6, 4, 3, 2, 1, 5, 4, 2, 6, 0]",10,0.0,49.0,0.00999999,Optimal
282,j20,29,2,"[0, 10, 2, 5, 2, 11, 3, 5, 6, 7, 3, 2, 7, 4, 5, 1, 1, 2, 4, 2, 10, 0]",10,0.0,49.0,0.00999999,Optimal
283,j20,29,3,"[0, 8, 1, 5, 3, 9, 2, 6, 6, 8, 2, 2, 8, 5, 3, 1, 1, 4, 4, 2, 11, 0]",10,0.0,49.0,0.0,Optimal
284,j20,29,4,"[0, 10, 2, 6, 5, 6, 1, 6, 8, 5, 1, 1, 6, 3, 5, 2, 1, 3, 4, 2, 9, 0]",10,0.0,49.0,0.00999999,Optimal
285,j20,29,5,"[0, 6, 1, 9, 3, 8, 1, 7, 11, 7, 2, 1, 9, 7, 5, 1, 1, 4, 7, 2, 11, 0]",10,0.0,49.0,0.00999999,Optimal
286,j20,29,6,"[0, 10, 2, 5, 2, 8, 1, 6, 10, 5, 2, 1, 8, 7, 2, 1, 1, 2, 4, 1, 10, 0]",10,0.0,49.0,0.00999999,Optimal
287,j20,29,7,"[0, 7, 1, 7, 5, 7, 3, 8, 10, 6, 3, 1, 6, 4, 4, 1, 1, 4, 5, 2, 6, 0]",10,0.0,49.0,0.00999999,Optimal
288,j20,29,8,"[0, 11, 2, 7, 2, 6, 3, 5, 8, 5, 2, 1, 8, 3, 5, 2, 1, 2, 4, 2, 6, 0]",10,0.0,49.0,0.0,Optimal
289,j20,29,9,"[0, 7, 2, 6, 4, 11, 1, 8, 9, 4, 1, 2, 7, 5, 5, 2, 1, 3, 7, 2, 6, 0]",10,0.0,49.0,0.00999999,Optimal
290,j20,30,0,"[0, 1, 3, 2, 10, 5, 2, 1, 6, 3, 5, 2, 3, 10, 6, 12, 7, 4, 1, 7, 7, 0]",10,0.0,54.0,0.05,Optimal
291,j20,30,1,"[0, 1, 2, 2, 10, 7, 1, 1, 5, 2, 6, 3, 5, 12, 2, 12, 11, 3, 1, 4, 6, 0]",10,0.0,55.0,0.04,Optimal
292,j20,30,2,"[0, 1, 3, 1, 10, 6, 1, 1, 3, 3, 8, 5, 4, 7, 2, 12, 9, 3, 1, 4, 8, 0]",10,0.0,41.0,0.0300002,Optimal
293,j20,30,3,"[0, 1, 2, 1, 7, 8, 1, 1, 5, 2, 5, 3, 5, 7, 4, 6, 10, 3, 1, 5, 7, 0]",10,0.0,42.0,0.12,Optimal
294,j20,30,4,"[0, 1, 3, 1, 12, 6, 3, 1, 7, 5, 6, 5, 4, 6, 2, 8, 8, 3, 1, 6, 9, 0]",10,0.0,50.0,0.0500002,Optimal
295,j20,30,5,"[0, 1, 4, 1, 12, 5, 1, 1, 4, 3, 8, 2, 2, 11, 6, 11, 8, 6, 1, 6, 8, 0]",10,0.0,52.0,0.04,Optimal
296,j20,30,6,"[0, 1, 5, 2, 6, 8, 1, 1, 6, 2, 9, 5, 5, 11, 6, 7, 6, 6, 1, 5, 5, 0]",10,0.0,51.0,0.04,Optimal
297,j20,30,7,"[0, 1, 3, 1, 10, 6, 2, 1, 3, 4, 9, 2, 2, 10, 3, 12, 10, 3, 1, 3, 7, 0]",10,0.0,52.0,0.05,Optimal
298,j20,30,8,"[0, 1, 5, 2, 8, 9, 1, 1, 5, 4, 5, 3, 4, 12, 4, 6, 11, 3, 1, 5, 9, 0]",10,0.0,48.0,0.03,Optimal
299,j20,30,9,"[0, 1, 4, 1, 12, 6, 3, 1, 4, 3, 9, 4, 2, 11, 2, 7, 11, 2, 1, 4, 8, 0]",10,0.0,47.0,0.04,Optimal
300,j20,31,0,"[0, 11, 2, 7, 2, 7, 1, 9, 2, 1, 6, 1, 7, 7, 1, 11, 1, 7, 6, 10, 5, 0]",10,,,0.00999999,Infeasible
301,j20,31,1,"[0, 10, 2, 7, 4, 10, 1, 11, 3, 1, 8, 1, 7, 4, 1, 12, 1, 11, 5, 7, 4, 0]",10,,,0.0,Infeasible
302,j20,31,2,"[0, 7, 1, 7, 3, 6, 1, 6, 2, 1, 9, 3, 7, 3, 1, 12, 3, 11, 5, 7, 6, 0]",10,,,10.0,Unknown
303,j20,31,3,"[0, 10, 1, 4, 5, 10, 1, 8, 1, 1, 6, 2, 9, 4, 1, 8, 1, 10, 5, 8, 5, 0]",10,,,0.0,Infeasible
304,j20,31,4,"[0, 7, 1, 4, 5, 11, 1, 10, 2, 1, 7, 3, 6, 3, 1, 8, 3, 7, 7, 10, 5, 0]",10,,,10.0,Unknown
305,j20,31,5,"[0, 6, 1, 4, 3, 11, 1, 9, 1, 1, 6, 2, 11, 7, 1, 11, 3, 8, 8, 9, 6, 0]",10,,,0.00999999,Infeasible
306,j20,31,6,"[0, 11, 1, 6, 6, 9, 1, 10, 3, 1, 10, 2, 10, 4, 1, 6, 1, 8, 4, 11, 5, 0]",10,,,0.00999999,Infeasible
307,j20,31,7,"[0, 10, 2, 4, 2, 8, 1, 10, 1, 1, 6, 1, 7, 7, 1, 7, 1, 8, 7, 7, 5, 0]",10,,,0.00999999,Infeasible
308,j20,31,8,"[0, 10, 1, 5, 4, 6, 1, 7, 3, 1, 12, 3, 8, 3, 1, 12, 2, 7, 6, 10, 3, 0]",10,,,10.0,Unknown
309,j20,31,9,"[0, 11, 2, 4, 4, 7, 1, 11, 1, 1, 8, 1, 11, 3, 1, 7, 2, 6, 5, 9, 4, 0]",10,,,10.0,Unknown
310,j20,32,0,"[0, 2, 1, 2, 5, 5, 3, 2, 4, 2, 3, 10, 1, 2, 7, 7, 4, 6, 1, 5, 10, 0]",10,0.0,57.0,0.42,Optimal
311,j20,32,1,"[0, 2, 1, 4, 8, 4, 2, 2, 5, 3, 2, 12, 1, 2, 4, 7, 5, 3, 1, 4, 6, 0]",10,0.0,59.0,0.55,Optimal
312,j20,32,2,"[0, 1, 2, 2, 4, 5, 5, 1, 5, 2, 5, 12, 1, 2, 4, 7, 5, 6, 1, 3, 7, 0]",10,0.0,59.0,0.25,Optimal
313,j20,32,3,"[0, 2, 1, 4, 8, 2, 3, 2, 5, 4, 2, 10, 1, 2, 5, 8, 3, 2, 1, 4, 9, 0]",10,0.0,56.0,0.21,Optimal
314,j20,32,4,"[0, 2, 3, 5, 8, 5, 3, 2, 7, 4, 2, 6, 1, 3, 5, 7, 5, 5, 1, 7, 8, 0]",10,0.0,62.0,0.34,Optimal
315,j20,32,5,"[0, 1, 3, 2, 4, 3, 3, 2, 7, 2, 2, 11, 1, 2, 7, 11, 4, 4, 1, 7, 9, 0]",10,0.0,59.0,0.13,Optimal
316,j20,32,6,"[0, 2, 2, 2, 7, 6, 5, 1, 8, 5, 6, 7, 1, 1, 7, 8, 2, 4, 1, 7, 7, 0]",10,0.0,71.0,0.21,Optimal
317,j20,32,7,"[0, 2, 2, 2, 6, 6, 2, 1, 8, 3, 6, 7, 1, 1, 5, 9, 3, 4, 1, 7, 10, 0]",10,0.0,65.0,0.2,Optimal
318,j20,32,8,"[0, 2, 3, 4, 4, 3, 4, 1, 6, 5, 2, 12, 1, 2, 4, 8, 2, 2, 1, 4, 8, 0]",10,0.0,60.0,0.52,Optimal
319,j20,32,9,"[0, 2, 2, 2, 6, 2, 5, 2, 4, 3, 2, 7, 1, 2, 4, 11, 2, 6, 1, 6, 11, 0]",10,0.0,60.0,0.18,Optimal
320,j20,33,0,"[0, 7, 6, 2, 6, 1, 7, 2, 6, 7, 6, 11, 9, 3, 5, 6, 4, 9, 6, 1, 7, 0]",10,,,0.0,Infeasible
321,j20,33,1,"[0, 6, 6, 4, 9, 1, 5, 3, 6, 12, 3, 7, 6, 3, 3, 6, 3, 5, 3, 1, 6, 0]",10,0.0,93.0,0.14,Optimal
322,j20,33,2,"[0, 6, 3, 2, 8, 1, 5, 3, 9, 10, 2, 7, 8, 6, 5, 6, 2, 8, 4, 1, 5, 0]",10,0.0,106.0,0.14,Optimal
323,j20,33,3,"[0, 4, 6, 3, 7, 1, 6, 3, 6, 12, 3, 9, 9, 5, 4, 5, 2, 5, 5, 1, 5, 0]",10,,,0.0,Infeasible
324,j20,33,4,"[0, 5, 5, 6, 7, 1, 4, 2, 7, 7, 5, 6, 5, 6, 5, 6, 5, 8, 3, 1, 6, 0]",10,0.0,92.0,0.13,Optimal
325,j20,33,5,"[0, 8, 5, 6, 9, 1, 8, 3, 6, 10, 4, 6, 7, 6, 4, 3, 2, 7, 7, 1, 7, 0]",10,0.0,106.0,0.15,Optimal
326,j20,33,6,"[0, 4, 6, 3, 9, 1, 5, 2, 8, 9, 3, 8, 9, 6, 5, 4, 2, 6, 5, 1, 5, 0]",10,0.0,104.0,0.2,Optimal
327,j20,33,7,"[0, 4, 3, 4, 9, 1, 4, 3, 8, 7, 6, 8, 5, 2, 4, 2, 3, 8, 4, 1, 4, 0]",10,0.0,94.0,0.18,Optimal
328,j20,33,8,"[0, 8, 6, 5, 5, 1, 7, 2, 9, 7, 4, 11, 9, 2, 3, 5, 3, 6, 3, 1, 3, 0]",10,,,0.0,Infeasible
329,j20,33,9,"[0, 8, 4, 5, 9, 1, 6, 2, 11, 9, 5, 11, 6, 4, 7, 5, 2, 5, 7, 1, 5, 0]",10,,,0.0,Infeasible
330,j20,34,0,"[0, 7, 10, 3, 7, 2, 3, 2, 6, 2, 9, 3, 2, 1, 7, 4, 2, 4, 8, 5, 7, 0]",10,0.0,85.0,3.11,Optimal
331,j20,34,1,"[0, 6, 10, 5, 10, 2, 4, 2, 6, 3, 6, 2, 1, 1, 4, 2, 1, 5, 6, 3, 3, 0]",10,0.0,69.0,3.78,Optimal
332,j20,34,2,"[0, 7, 11, 4, 7, 1, 3, 3, 8, 2, 7, 1, 1, 2, 6, 3, 3, 2, 8, 3, 5, 0]",10,0.0,78.0,3.04,Optimal
333,j20,34,3,"[0, 6, 7, 3, 12, 2, 6, 6, 8, 3, 6, 3, 1, 1, 5, 4, 2, 5, 8, 4, 3, 0]",10,0.2875,80.0,10.0,Feasible
334,j20,34,4,"[0, 4, 7, 4, 11, 1, 3, 6, 7, 2, 8, 2, 2, 1, 6, 2, 1, 6, 8, 3, 3, 0]",10,0.0,74.0,2.39,Optimal
335,j20,34,5,"[0, 8, 8, 3, 11, 3, 7, 3, 6, 2, 7, 1, 1, 1, 7, 3, 3, 6, 5, 2, 5, 0]",10,0.0,79.0,1.08,Optimal
336,j20,34,6,"[0, 7, 7, 5, 10, 1, 5, 4, 5, 3, 7, 3, 3, 1, 3, 4, 2, 3, 6, 2, 3, 0]",10,0.0,71.0,5.41,Optimal
337,j20,34,7,"[0, 5, 8, 4, 11, 1, 5, 2, 5, 3, 5, 2, 2, 2, 7, 2, 3, 2, 7, 5, 3, 0]",10,0.0,70.0,1.16,Optimal
338,j20,34,8,"[0, 7, 7, 5, 11, 2, 7, 2, 5, 3, 8, 2, 2, 2, 3, 4, 2, 2, 8, 4, 6, 0]",10,0.0,78.0,3.02,Optimal
339,j20,34,9,"[0, 8, 8, 3, 11, 2, 4, 4, 9, 5, 5, 3, 1, 2, 7, 5, 3, 6, 6, 2, 6, 0]",10,0.0,84.0,5.46,Optimal
340,j20,35,0,"[0, 5, 10, 6, 3, 9, 2, 1, 5, 3, 7, 6, 11, 2, 5, 6, 10, 1, 6, 10, 8, 0]",10,0.0,90.0,3.3,Optimal
341,j20,35,1,"[0, 6, 8, 10, 4, 10, 2, 1, 6, 3, 12, 3, 7, 5, 5, 5, 6, 1, 5, 6, 5, 0]",10,0.0,84.0,2.67,Optimal
342,j20,35,2,"[0, 5, 8, 7, 2, 9, 3, 1, 6, 4, 9, 6, 6, 3, 7, 8, 8, 1, 4, 11, 8, 0]",10,0.0,91.0,3.63,Optimal
343,j20,35,3,"[0, 3, 8, 6, 6, 7, 3, 1, 7, 4, 6, 3, 9, 5, 8, 7, 11, 2, 7, 6, 5, 0]",10,0.0,84.0,3.12,Optimal
344,j20,35,4,"[0, 4, 8, 7, 5, 10, 3, 1, 5, 3, 7, 3, 11, 5, 4, 4, 11, 2, 8, 11, 7, 0]",10,0.0,88.0,3.68,Optimal
345,j20,35,5,"[0, 6, 9, 11, 5, 11, 1, 1, 8, 7, 9, 6, 12, 2, 8, 5, 6, 1, 6, 6, 7, 0]",10,0.0,100.0,1.99,Optimal
346,j20,35,6,"[0, 6, 7, 7, 2, 8, 1, 1, 9, 3, 10, 3, 12, 2, 5, 4, 8, 2, 5, 8, 9, 0]",10,0.0,83.0,2.36,Optimal
347,j20,35,7,"[0, 6, 8, 8, 2, 7, 3, 1, 7, 3, 12, 3, 8, 2, 4, 5, 8, 2, 8, 8, 5, 0]",10,0.0,85.0,3.03,Optimal
348,j20,35,8,"[0, 2, 7, 11, 2, 7, 2, 1, 6, 7, 10, 5, 12, 3, 4, 7, 6, 2, 5, 8, 9, 0]",10,0.0,92.0,2.31,Optimal
349,j20,35,9,"[0, 2, 11, 6, 5, 7, 2, 1, 5, 3, 10, 4, 11, 5, 8, 6, 6, 2, 7, 9, 6, 0]",10,0.0,91.0,1.86,Optimal
350,j20,36,0,"[0, 11, 6, 7, 6, 2, 6, 5, 2, 4, 6, 1, 2, 1, 1, 7, 5, 10, 4, 1, 7, 0]",10,0.0,66.0,0.28,Optimal
351,j20,36,1,"[0, 9, 7, 5, 10, 2, 7, 6, 3, 5, 5, 1, 2, 2, 1, 7, 4, 7, 2, 1, 7, 0]",10,0.0,63.0,0.39,Optimal
