,instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,solver_calls,feasibility,feasibility_pi,real_durations,start_times
44,j10,5,100.0,inf,33.0,reactive,60,10,6,False,True,"[0, 11, 6, 1, 3, 1, 5, 7, 2, 5, 9, 0]","[0, 0, 0, 8, 3, 13, 25, 15, 9, 15, 15, 33]"
45,j10,5,13.793103448275861,33.0,29.0,reactive,60,10,12,True,True,"[0, 9, 6, 1, 2, 1, 7, 3, 1, 3, 10, 0]","[0, 0, 0, 11, 6, 13, 25, 15, 12, 17, 15, 33]"
46,j10,5,0.0,29.0,29.0,reactive,60,10,12,True,True,"[0, 8, 9, 1, 2, 1, 7, 4, 1, 4, 11, 0]","[0, 1, 1, 0, 4, 18, 11, 20, 10, 6, 19, 28]"
47,j10,5,100.0,inf,30.0,reactive,60,10,3,False,True,"[0, 6, 11, 2, 2, 2, 7, 3, 1, 2, 6, 0]","[0, 1, 1, 0, 4, 18, 11, 20, 10, 6, 19, 28]"
48,j10,5,100.0,inf,29.0,reactive,60,10,9,False,True,"[0, 6, 8, 1, 1, 2, 9, 4, 1, 3, 8, 0]","[0, 2, 2, 0, 5, 19, 12, 21, 11, 6, 20, 29]"
49,j10,5,100.0,inf,30.0,reactive,60,10,3,False,True,"[0, 10, 7, 2, 2, 2, 6, 5, 1, 2, 7, 0]","[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 19, 28]"
50,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 1, 4, 3, 4, 8, 6, 2, 1, 11, 6, 0]",
51,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 1, 3, 3, 3, 10, 6, 5, 1, 8, 7, 0]",
52,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 4, 2, 5, 10, 6, 2, 1, 11, 7, 0]",
53,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 1, 4, 2, 5, 12, 9, 2, 1, 6, 7, 0]",
54,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 6, 5, 6, 9, 10, 2, 1, 11, 6, 0]",
55,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 3, 2, 7, 9, 8, 4, 1, 8, 5, 0]",
56,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 1, 4, 2, 5, 7, 12, 4, 1, 9, 3, 0]",
57,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 1, 3, 4, 4, 9, 9, 5, 1, 7, 6, 0]",
58,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 5, 4, 4, 9, 6, 6, 1, 11, 3, 0]",
59,j10,6,0.0,inf,inf,reactive,60,10,1,False,False,"[0, 2, 4, 4, 7, 10, 8, 2, 1, 9, 5, 0]",
60,j10,7,100.0,inf,43.0,reactive,60,10,6,False,True,"[0, 10, 1, 3, 6, 9, 4, 5, 1, 8, 1, 0]","[0, 0, 28, 0, 0, 10, 38, 18, 30, 29, 23, 43]"
61,j10,7,100.0,inf,44.0,reactive,60,10,11,False,True,"[0, 7, 1, 5, 9, 9, 5, 2, 1, 10, 3, 0]","[0, 0, 28, 0, 0, 10, 38, 22, 30, 29, 19, 43]"
62,j10,7,100.0,inf,44.0,reactive,60,10,6,False,True,"[0, 9, 1, 2, 12, 8, 3, 6, 1, 11, 3, 0]","[0, 18, 28, 0, 0, 9, 39, 25, 35, 29, 0, 44]"
