instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0003190040588378906,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 10, 11, 2, 7, 5, 1, 3, 2, 1, 3, 0]",SAA_smart,41.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.00032520294189453125,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 10, 9, 2, 8, 7, 2, 3, 1, 1, 1, 0]",SAA_smart,39.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0003077983856201172,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 7, 7, 5, 6, 4, 2, 2, 1, 1, 2, 0]",SAA_smart,36.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0002601146697998047,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 7, 6, 2, 7, 3, 1, 2, 2, 1, 3, 0]",SAA_smart,35.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0002968311309814453,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 7, 6, 4, 9, 4, 2, 1, 1, 1, 2, 0]",SAA_smart,35.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0002932548522949219,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 9, 10, 4, 10, 3, 2, 2, 1, 1, 1, 0]",SAA_smart,39.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0002510547637939453,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 10, 7, 5, 8, 5, 2, 1, 1, 1, 2, 0]",SAA_smart,37.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0002796649932861328,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 9, 12, 5, 11, 7, 2, 2, 2, 1, 3, 0]",SAA_smart,41.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.00023293495178222656,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 6, 6, 4, 8, 4, 1, 3, 1, 1, 3, 0]",SAA_smart,35.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.0002541542053222656,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 5, 10, 1, 7, 8, 3, 5, 7, 7, 5, 0]",SAA_smart,40.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.0002570152282714844,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 6, 12, 2, 8, 9, 5, 9, 9, 7, 4, 0]",SAA_smart,45.0
j10,9,proactive_SAA_smart,60,True,53.0,0.4448719024658203,0.0002269744873046875,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 6, 11, 1, 8, 9, 4, 6, 12, 3, 4, 0]",SAA_smart,42.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.00020599365234375,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 3, 7, 2, 11, 6, 4, 5, 10, 4, 2, 0]",SAA_smart,40.0
j10,9,proactive_SAA_smart,60,True,53.0,0.4448719024658203,0.00021409988403320312,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 2, 11, 2, 8, 6, 3, 8, 12, 4, 3, 0]",SAA_smart,41.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.00022101402282714844,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 5, 10, 1, 7, 8, 7, 7, 10, 3, 3, 0]",SAA_smart,42.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.00021076202392578125,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 5, 7, 1, 6, 9, 4, 7, 8, 4, 2, 0]",SAA_smart,40.0
j10,9,proactive_SAA_smart,60,True,51.0,0.4448719024658203,0.00024509429931640625,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 3, 9, 2, 11, 9, 6, 6, 9, 3, 2, 0]",SAA_smart,45.0
j10,9,proactive_SAA_smart,60,True,53.0,0.4448719024658203,0.0002219676971435547,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 4, 8, 2, 7, 8, 7, 7, 12, 3, 2, 0]",SAA_smart,45.0
j10,9,proactive_SAA_smart,60,True,52.0,0.4448719024658203,0.0002124309539794922,"[0, 2, 8, 0, 2, 13, 34, 25, 41, 27, 22, 51]","[0, 3, 7, 2, 9, 5, 3, 9, 11, 5, 2, 0]",SAA_smart,42.0
j10,10,proactive_SAA_smart,60,True,39.0,0.47631001472473145,0.0002181529998779297,"[0, 0, 8, 6, 11, 11, 24, 19, 27, 16, 35, 39]","[0, 5, 1, 1, 2, 7, 2, 5, 4, 1, 3, 0]",SAA_smart,26.0
j10,10,proactive_SAA_smart,60,True,40.0,0.47631001472473145,0.0001900196075439453,"[0, 0, 8, 6, 11, 11, 24, 19, 27, 16, 35, 39]","[0, 6, 2, 1, 2, 7, 3, 2, 6, 1, 5, 0]",SAA_smart,31.0
j10,10,proactive_SAA_smart,60,True,39.0,0.47631001472473145,0.0001990795135498047,"[0, 0, 8, 6, 11, 11, 24, 19, 27, 16, 35, 39]","[0, 6, 3, 1, 2, 11, 3, 4, 8, 2, 3, 0]",SAA_smart,36.0
j10,10,proactive_SAA_smart,60,True,39.0,0.47631001472473145,0.0001709461212158203,"[0, 0, 8, 6, 11, 11, 24, 19, 27, 16, 35, 39]","[0, 2, 3, 1, 3, 7, 2, 5, 5, 2, 2, 0]",SAA_smart,30.0
