instance_id,method,real_durations,rel_regret
14,proactive,"[0, 1, 1, 2, 3, 8, 4, 1, 9, 11, 1, 7, 7, 1, 7, 5, 2, 12, 9, 8, 7, 10, 1, 4, 2, 2, 3, 3, 6, 7, 3, 0]",0.0
14,proactive,"[0, 1, 3, 2, 3, 11, 3, 1, 6, 11, 1, 8, 7, 3, 5, 8, 1, 10, 10, 10, 6, 7, 1, 4, 2, 3, 3, 1, 5, 8, 6, 0]",0.0
14,proactive,"[0, 1, 3, 3, 3, 7, 6, 1, 8, 8, 1, 10, 7, 1, 6, 8, 1, 11, 8, 12, 11, 7, 1, 4, 1, 4, 1, 2, 8, 10, 6, 0]",0.0
14,reactive,"[0, 1, 1, 1, 3, 6, 6, 1, 8, 9, 1, 8, 8, 1, 4, 4, 1, 7, 9, 8, 8, 7, 1, 5, 1, 5, 1, 3, 4, 7, 2, 0]",0.0
15,STNU,"[0, 2, 6, 3, 6, 1, 6, 4, 6, 6, 1, 4, 6, 1, 3, 5, 8, 5, 2, 6, 1, 2, 2, 7, 2, 6, 7, 8, 7, 7, 4, 0]",0.0
15,STNU,"[0, 2, 7, 2, 9, 1, 9, 7, 11, 4, 1, 5, 7, 2, 2, 5, 8, 3, 3, 5, 1, 2, 1, 11, 2, 7, 8, 11, 9, 10, 3, 0]",3.225806451612903
15,STNU,"[0, 2, 8, 1, 11, 1, 12, 5, 8, 5, 1, 3, 3, 2, 2, 4, 6, 3, 4, 3, 1, 4, 2, 8, 2, 9, 7, 7, 9, 6, 5, 0]",1.6129032258064515
15,STNU,"[0, 3, 6, 1, 7, 2, 8, 4, 9, 3, 1, 4, 3, 1, 5, 5, 9, 5, 4, 2, 1, 2, 1, 11, 2, 7, 10, 9, 6, 8, 5, 0]",0.0
15,STNU,"[0, 3, 9, 3, 10, 1, 11, 6, 11, 3, 1, 3, 3, 2, 3, 4, 7, 4, 6, 3, 1, 3, 1, 10, 4, 8, 9, 6, 11, 12, 4, 0]",1.5873015873015872
15,STNU,"[0, 5, 5, 1, 8, 2, 9, 4, 8, 4, 1, 4, 4, 2, 2, 4, 5, 4, 6, 6, 1, 2, 3, 11, 4, 5, 8, 8, 9, 8, 5, 0]",0.0
15,STNU,"[0, 5, 6, 1, 8, 2, 9, 4, 8, 3, 1, 2, 3, 2, 5, 4, 9, 4, 3, 6, 1, 3, 2, 6, 3, 7, 11, 7, 11, 10, 5, 0]",3.4482758620689653
15,STNU,"[0, 5, 6, 2, 8, 2, 12, 6, 6, 6, 1, 2, 7, 2, 3, 2, 7, 5, 4, 4, 1, 5, 1, 11, 5, 7, 11, 9, 8, 6, 6, 0]",3.1746031746031744
15,STNU,"[0, 5, 9, 2, 11, 2, 12, 3, 6, 5, 1, 4, 3, 1, 3, 4, 8, 2, 5, 3, 1, 2, 3, 6, 3, 8, 6, 11, 7, 11, 7, 0]",0.0
15,STNU,"[0, 5, 9, 3, 11, 2, 8, 6, 7, 4, 1, 5, 3, 1, 2, 5, 5, 4, 4, 4, 1, 2, 1, 7, 5, 9, 8, 6, 8, 11, 7, 0]",0.0
15,proactive,"[0, 2, 6, 3, 8, 1, 10, 6, 12, 4, 1, 2, 5, 2, 2, 2, 9, 2, 2, 2, 1, 3, 2, 6, 4, 7, 7, 9, 7, 10, 7, 0]",10.169491525423728
15,proactive,"[0, 2, 8, 2, 8, 1, 8, 7, 11, 7, 1, 4, 3, 2, 6, 2, 9, 3, 4, 4, 1, 4, 3, 7, 5, 7, 6, 8, 6, 6, 4, 0]",8.474576271186441
15,proactive,"[0, 2, 8, 3, 10, 2, 6, 7, 6, 6, 1, 5, 7, 2, 5, 2, 5, 4, 6, 5, 1, 5, 2, 8, 3, 6, 9, 9, 8, 6, 4, 0]",3.225806451612903
15,proactive,"[0, 2, 9, 3, 8, 2, 9, 7, 11, 3, 1, 3, 5, 1, 5, 3, 8, 5, 2, 4, 1, 2, 3, 8, 2, 9, 11, 11, 9, 8, 4, 0]",6.666666666666667
15,proactive,"[0, 3, 8, 1, 8, 1, 10, 7, 7, 4, 1, 4, 5, 2, 6, 3, 6, 4, 5, 2, 1, 4, 1, 7, 5, 8, 6, 9, 9, 7, 6, 0]",8.474576271186441
15,proactive,"[0, 3, 8, 3, 10, 2, 6, 6, 10, 5, 1, 4, 4, 1, 2, 4, 6, 4, 6, 2, 1, 2, 1, 9, 5, 6, 6, 7, 10, 7, 5, 0]",1.5873015873015872
15,proactive,"[0, 3, 9, 3, 7, 1, 11, 6, 10, 3, 1, 2, 3, 2, 5, 2, 6, 4, 5, 3, 1, 3, 1, 9, 2, 9, 8, 6, 8, 12, 5, 0]",6.666666666666667
15,proactive,"[0, 4, 9, 3, 6, 1, 10, 6, 10, 5, 1, 4, 6, 2, 3, 3, 8, 4, 3, 2, 1, 4, 2, 7, 5, 6, 11, 6, 7, 12, 4, 0]",10.344827586206897
15,proactive,"[0, 5, 8, 1, 7, 2, 8, 3, 8, 4, 1, 5, 6, 2, 6, 3, 6, 5, 2, 4, 1, 2, 1, 8, 3, 8, 8, 7, 8, 10, 4, 0]",8.474576271186441
16,proactive,"[0, 1, 4, 1, 1, 9, 1, 9, 3, 6, 4, 1, 10, 7, 7, 2, 8, 7, 1, 1, 9, 5, 4, 1, 1, 9, 1, 5, 1, 1, 7, 0]",12.76595744680851
16,proactive,"[0, 1, 6, 2, 1, 7, 2, 8, 2, 6, 6, 1, 10, 10, 7, 1, 7, 11, 1, 1, 7, 3, 5, 1, 1, 7, 1, 4, 1, 1, 9, 0]",12.76595744680851
16,proactive,"[0, 1, 6, 2, 2, 8, 2, 9, 3, 3, 4, 1, 11, 7, 7, 1, 6, 12, 1, 3, 10, 6, 3, 2, 1, 10, 1, 7, 1, 2, 12, 0]",10.0
16,proactive,"[0, 1, 7, 1, 2, 10, 1, 7, 1, 5, 5, 1, 9, 6, 7, 1, 8, 12, 1, 3, 10, 5, 6, 2, 1, 8, 1, 4, 1, 1, 11, 0]",10.20408163265306
16,proactive,"[0, 1, 7, 2, 1, 7, 1, 8, 3, 5, 3, 1, 10, 9, 7, 1, 5, 12, 1, 1, 8, 4, 3, 1, 1, 10, 1, 5, 1, 2, 6, 0]",12.76595744680851
16,proactive,"[0, 1, 7, 2, 2, 9, 2, 8, 3, 3, 4, 1, 10, 10, 6, 2, 6, 7, 2, 2, 11, 2, 3, 1, 1, 9, 1, 4, 1, 1, 12, 0]",12.244897959183673
16,proactive,"[0, 1, 8, 1, 1, 11, 1, 8, 2, 4, 5, 1, 7, 10, 6, 2, 5, 9, 1, 3, 7, 4, 4, 2, 1, 6, 1, 8, 1, 2, 10, 0]",15.217391304347826
17,proactive,"[0, 3, 1, 6, 2, 1, 7, 7, 2, 5, 1, 3, 6, 6, 5, 3, 6, 2, 3, 5, 6, 1, 7, 3, 4, 8, 1, 5, 1, 1, 5, 0]",13.461538461538462
17,proactive,"[0, 4, 1, 4, 1, 2, 3, 8, 2, 7, 2, 7, 5, 7, 4, 5, 5, 2, 5, 3, 7, 1, 5, 2, 2, 5, 1, 5, 1, 1, 2, 0]",18.0
