instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.00019598007202148438,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 9, 1, 3, 7, 8, 2, 2, 3, 8, 2, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.00020933151245117188,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 9, 1, 2, 8, 5, 2, 3, 2, 11, 1, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.00024771690368652344,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 11, 9, 2, 6, 4, 2, 1, 1, 1, 2, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.0002071857452392578,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 10, 11, 2, 7, 5, 1, 3, 2, 1, 3, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.0002110004425048828,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 10, 9, 2, 8, 7, 2, 3, 1, 1, 1, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.000186920166015625,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 7, 7, 5, 6, 4, 2, 2, 1, 1, 2, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.0001652240753173828,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 7, 6, 2, 7, 3, 1, 2, 2, 1, 3, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.00016927719116210938,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 7, 6, 4, 9, 4, 2, 1, 1, 1, 2, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.00018310546875,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 9, 10, 4, 10, 3, 2, 2, 1, 1, 1, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.0001800060272216797,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 10, 7, 5, 8, 5, 2, 1, 1, 1, 2, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.0002009868621826172,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 9, 12, 5, 11, 7, 2, 2, 2, 1, 3, 0]"
j10,8,robust_quantile_0.9,60,True,44.0,0.050302982330322266,0.00017118453979492188,"[0, 12, 0, 10, 23, 27, 37, 40, 34, 43, 34, 44]","[0, 6, 6, 4, 8, 4, 1, 3, 1, 1, 3, 0]"
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.0002620220184326172,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 5, 10, 1, 7, 8, 3, 5, 7, 7, 5, 0]"
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.0002949237823486328,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 6, 12, 2, 8, 9, 5, 9, 9, 7, 4, 0]"
j10,9,robust_quantile_0.9,60,True,53.0,0.050646066665649414,0.00023102760314941406,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 6, 11, 1, 8, 9, 4, 6, 12, 3, 4, 0]"
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.00024008750915527344,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 3, 7, 2, 11, 6, 4, 5, 10, 4, 2, 0]"
j10,9,robust_quantile_0.9,60,True,53.0,0.050646066665649414,0.00024080276489257812,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 2, 11, 2, 8, 6, 3, 8, 12, 4, 3, 0]"
