instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,rel_regret,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo100,31,STNU,60,60,inf,inf,0.0,False,False,"[0, 4, 1, 1, 2, 5, 5, 2, 2, 5, 6, 2, 12, 6, 1, 1, 3, 6, 4, 3, 9, 1, 1, 11, 3, 1, 2, 8, 1, 3, 2, 1, 11, 9, 7, 1, 5, 6, 1, 4, 7, 9, 1, 1, 9, 10, 1, 6, 3, 7, 2, 7, 3, 10, 8, 3, 6, 4, 1, 5, 6, 6, 10, 6, 4, 2, 5, 5, 1, 4, 3, 2, 8, 5, 3, 4, 7, 7, 6, 4, 7, 1, 1, 11, 4, 5, 7, 1, 6, 3, 10, 7, 5, 6, 4, 7, 3, 4, 2, 1, 8, 0]",,0.0760350227355957,0.0
ubo100,32,STNU,60,60,inf,389.0,100.0,False,True,"[0, 3, 11, 10, 2, 6, 5, 1, 5, 9, 5, 6, 7, 2, 4, 9, 1, 3, 2, 2, 10, 2, 7, 1, 1, 6, 4, 7, 5, 4, 4, 6, 4, 7, 2, 10, 7, 2, 1, 7, 1, 7, 5, 10, 1, 2, 5, 3, 6, 1, 7, 7, 11, 9, 7, 1, 5, 2, 6, 3, 6, 5, 5, 9, 1, 6, 8, 6, 12, 3, 8, 5, 1, 9, 5, 6, 1, 6, 6, 3, 9, 4, 6, 3, 3, 1, 8, 2, 7, 11, 3, 6, 9, 6, 7, 9, 2, 2, 10, 1, 6, 0]",,62.202489137649536,0.0
ubo100,33,STNU,60,60,inf,356.0,100.0,False,True,"[0, 5, 1, 8, 10, 6, 4, 6, 6, 1, 3, 1, 1, 5, 3, 1, 3, 1, 5, 1, 1, 3, 6, 7, 3, 5, 7, 1, 5, 2, 9, 2, 8, 2, 5, 7, 2, 1, 4, 11, 1, 11, 3, 4, 11, 1, 4, 1, 5, 1, 1, 1, 3, 2, 3, 4, 6, 4, 7, 5, 2, 1, 7, 12, 2, 3, 6, 3, 9, 10, 3, 1, 1, 1, 5, 1, 3, 6, 1, 6, 10, 5, 5, 5, 6, 6, 5, 6, 6, 6, 8, 6, 10, 5, 4, 3, 11, 11, 9, 5, 2, 0]",,62.54796600341797,0.0
ubo100,34,STNU,60,60,inf,383.0,100.0,False,True,"[0, 1, 11, 5, 3, 3, 6, 9, 8, 7, 4, 1, 5, 2, 3, 2, 1, 6, 3, 5, 6, 1, 8, 5, 10, 4, 4, 7, 3, 8, 6, 7, 7, 1, 3, 9, 6, 12, 2, 2, 11, 1, 2, 1, 5, 1, 11, 7, 7, 1, 1, 2, 1, 3, 8, 7, 1, 9, 4, 5, 10, 2, 1, 8, 12, 1, 10, 1, 2, 6, 3, 2, 1, 3, 9, 6, 7, 9, 7, 9, 9, 7, 6, 7, 4, 6, 11, 2, 4, 6, 4, 3, 6, 6, 5, 3, 1, 1, 5, 8, 3, 0]",,62.24010396003723,0.0
ubo100,35,STNU,60,60,inf,504.0,100.0,False,True,"[0, 1, 8, 5, 6, 7, 9, 2, 5, 9, 8, 6, 5, 7, 1, 3, 1, 2, 3, 5, 10, 5, 3, 3, 6, 6, 6, 4, 1, 7, 1, 7, 9, 8, 8, 5, 9, 1, 11, 6, 1, 7, 9, 5, 5, 8, 1, 5, 9, 7, 3, 9, 8, 3, 4, 4, 8, 8, 1, 2, 4, 2, 2, 2, 10, 6, 6, 11, 7, 12, 7, 2, 4, 2, 4, 2, 9, 9, 2, 5, 3, 8, 1, 2, 9, 1, 2, 5, 1, 1, 7, 1, 4, 5, 3, 2, 3, 3, 2, 8, 1, 0]",,0.07994318008422852,0.0
ubo100,36,STNU,60,60,inf,393.0,100.0,False,True,"[0, 1, 3, 1, 4, 11, 2, 3, 2, 1, 1, 6, 1, 4, 2, 3, 1, 2, 3, 3, 7, 1, 1, 7, 1, 10, 9, 6, 8, 8, 9, 5, 1, 7, 1, 11, 3, 2, 8, 1, 7, 2, 3, 2, 6, 2, 11, 1, 7, 8, 5, 7, 8, 3, 6, 7, 1, 10, 6, 6, 6, 3, 1, 1, 7, 2, 10, 2, 1, 5, 2, 2, 5, 6, 3, 6, 1, 4, 6, 1, 8, 5, 1, 5, 4, 1, 6, 1, 2, 8, 1, 3, 6, 8, 2, 7, 6, 5, 2, 11, 1, 0]",,62.30936813354492,0.0
ubo100,37,STNU,60,60,418.0,385.0,8.571428571428571,True,True,"[0, 1, 4, 4, 1, 7, 1, 11, 5, 7, 4, 5, 1, 11, 4, 1, 4, 5, 1, 1, 1, 3, 9, 8, 2, 1, 8, 11, 8, 1, 4, 12, 7, 11, 11, 8, 7, 5, 5, 7, 1, 6, 5, 10, 2, 2, 4, 6, 3, 4, 4, 1, 10, 5, 5, 8, 8, 1, 2, 9, 2, 1, 6, 7, 1, 9, 7, 8, 9, 3, 8, 7, 6, 5, 4, 12, 5, 1, 1, 1, 2, 8, 1, 3, 1, 7, 9, 1, 1, 1, 3, 1, 9, 1, 1, 1, 7, 9, 6, 8, 1, 0]","[0, 9, 0, 22, 9, 380, 22, 362, 402, 341, 168, 308, 326, 167, 114, 158, 230, 93, 184, 268, 279, 387, 34, 138, 360, 118, 48, 23, 190, 68, 318, 329, 300, 240, 289, 280, 15, 224, 98, 80, 307, 62, 399, 168, 203, 105, 353, 108, 43, 89, 322, 58, 251, 75, 205, 130, 216, 148, 146, 119, 200, 148, 159, 373, 199, 280, 233, 159, 289, 155, 178, 232, 149, 69, 172, 341, 4, 167, 129, 261, 327, 261, 128, 186, 61, 353, 119, 229, 265, 74, 130, 87, 234, 417, 10, 414, 407, 269, 251, 390, 198, 418]",63.56562089920044,18.012371063232422
ubo100,38,STNU,60,60,inf,458.0,100.0,False,True,"[0, 7, 5, 6, 2, 4, 4, 3, 2, 1, 9, 10, 2, 3, 7, 2, 2, 6, 3, 1, 4, 1, 8, 12, 4, 1, 8, 8, 11, 2, 7, 6, 6, 2, 3, 4, 2, 7, 1, 7, 5, 2, 6, 8, 2, 8, 1, 3, 3, 11, 6, 2, 6, 1, 12, 7, 8, 1, 9, 11, 5, 9, 1, 8, 5, 1, 5, 9, 1, 11, 4, 1, 9, 5, 5, 9, 3, 3, 1, 1, 8, 2, 4, 6, 2, 9, 10, 8, 5, 2, 7, 5, 3, 2, 1, 7, 10, 6, 7, 2, 11, 0]",,4.744147062301636,0.0
ubo100,39,STNU,60,60,inf,433.0,100.0,False,True,"[0, 1, 3, 1, 9, 6, 9, 7, 6, 1, 5, 1, 6, 6, 7, 6, 7, 6, 9, 1, 11, 5, 1, 4, 1, 9, 1, 4, 6, 2, 4, 1, 2, 4, 6, 3, 6, 4, 8, 2, 2, 7, 6, 7, 7, 7, 9, 5, 4, 3, 1, 2, 5, 4, 1, 6, 8, 1, 4, 2, 2, 4, 3, 8, 1, 3, 5, 3, 2, 1, 2, 1, 4, 7, 1, 5, 5, 4, 3, 3, 5, 2, 1, 5, 1, 8, 6, 3, 1, 11, 2, 1, 8, 2, 10, 4, 8, 1, 8, 3, 2, 0]",,9.845125198364258,0.0
ubo100,40,STNU,60,60,inf,427.0,100.0,False,True,"[0, 1, 6, 2, 6, 7, 6, 3, 2, 1, 11, 4, 1, 7, 7, 8, 3, 8, 11, 3, 9, 9, 6, 3, 1, 1, 1, 6, 1, 1, 7, 12, 11, 5, 1, 2, 12, 2, 1, 1, 7, 1, 2, 10, 3, 1, 1, 1, 5, 1, 3, 10, 12, 6, 5, 3, 7, 1, 9, 4, 10, 5, 6, 5, 1, 1, 7, 1, 1, 9, 5, 1, 1, 6, 4, 6, 11, 9, 2, 3, 2, 1, 1, 10, 6, 1, 2, 3, 4, 2, 2, 5, 8, 6, 7, 6, 1, 6, 3, 4, 1, 0]",,62.25221490859985,0.0
