instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,feasibility,feasibility_pi,rel_regret,real_durations,start_times
j10,5,STNU,60,60,inf,28.0,False,True,100.0,"[0, 8, 8, 1, 1, 2, 7, 3, 1, 3, 7, 0]",
j10,5,STNU,60,60,inf,29.0,False,True,100.0,"[0, 11, 6, 1, 3, 1, 5, 7, 2, 5, 9, 0]",
j10,5,STNU,60,60,inf,29.0,False,True,100.0,"[0, 9, 6, 1, 2, 1, 7, 3, 1, 3, 10, 0]",
j10,5,STNU,60,60,inf,30.0,False,True,100.0,"[0, 8, 9, 1, 2, 1, 7, 4, 1, 4, 11, 0]",
j10,5,STNU,60,60,inf,29.0,False,True,100.0,"[0, 6, 11, 2, 2, 2, 7, 3, 1, 2, 6, 0]",
j10,5,STNU,60,60,inf,31.0,False,True,100.0,"[0, 6, 8, 1, 1, 2, 9, 4, 1, 3, 8, 0]",
j10,5,STNU,60,60,inf,30.0,False,True,100.0,"[0, 10, 7, 2, 2, 2, 6, 5, 1, 2, 7, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 1, 4, 3, 4, 8, 6, 2, 1, 11, 6, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 1, 3, 3, 3, 10, 6, 5, 1, 8, 7, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 4, 2, 5, 10, 6, 2, 1, 11, 7, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 1, 4, 2, 5, 12, 9, 2, 1, 6, 7, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 6, 5, 6, 9, 10, 2, 1, 11, 6, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 3, 2, 7, 9, 8, 4, 1, 8, 5, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 1, 4, 2, 5, 7, 12, 4, 1, 9, 3, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 1, 3, 4, 4, 9, 9, 5, 1, 7, 6, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 5, 4, 4, 9, 6, 6, 1, 11, 3, 0]",
j10,6,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 4, 4, 7, 10, 8, 2, 1, 9, 5, 0]",
