instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 7, 2, 9, 5, 8, 6, 6, 1, 1, 2, 7, 3, 4, 2, 5, 1, 1, 1, 4, 3, 6, 7, 2, 6, 2, 8, 9, 2, 9, 2, 1, 5, 1, 5, 9, 2, 1, 4, 5, 6, 8, 3, 1, 1, 5, 1, 8, 4, 3, 2, 1, 6, 2, 11, 2, 7, 1, 1, 2, 9, 7, 5, 6, 3, 1, 9, 8, 7, 4, 9, 6, 8, 6, 6, 1, 2, 3, 10, 11, 1, 4, 4, 1, 3, 2, 7, 1, 1, 1, 6, 1, 11, 3, 10, 10, 1, 9, 6, 1, 0]",,0.0688331127166748,1.1920928955078125e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 10, 1, 7, 6, 4, 6, 7, 2, 2, 1, 7, 2, 6, 2, 2, 1, 2, 1, 5, 5, 9, 6, 1, 7, 2, 8, 5, 3, 6, 2, 1, 7, 2, 8, 6, 2, 1, 7, 2, 5, 7, 1, 1, 1, 8, 1, 11, 5, 3, 1, 2, 6, 1, 9, 2, 6, 2, 1, 2, 10, 7, 7, 10, 5, 1, 6, 7, 5, 3, 9, 6, 4, 6, 6, 1, 1, 5, 10, 12, 1, 4, 4, 2, 6, 2, 9, 1, 3, 1, 8, 1, 11, 7, 8, 12, 1, 8, 5, 1, 0]",,0.06921124458312988,1.0967254638671875e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 9, 1, 9, 6, 4, 7, 6, 3, 2, 2, 8, 5, 6, 2, 6, 1, 1, 1, 7, 4, 9, 8, 1, 9, 3, 8, 8, 3, 11, 1, 1, 7, 1, 5, 5, 2, 1, 6, 5, 3, 5, 2, 2, 1, 5, 1, 9, 2, 1, 2, 2, 7, 3, 9, 2, 9, 2, 1, 1, 7, 5, 9, 9, 2, 1, 7, 10, 6, 5, 8, 8, 8, 9, 9, 1, 1, 5, 10, 8, 2, 2, 4, 1, 2, 3, 10, 1, 2, 1, 5, 1, 7, 7, 9, 6, 1, 6, 3, 1, 0]",,0.06730222702026367,1.1920928955078125e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 11, 1, 7, 6, 4, 6, 10, 1, 2, 1, 5, 4, 4, 2, 4, 1, 2, 1, 6, 2, 7, 7, 2, 10, 1, 7, 8, 3, 11, 1, 1, 5, 2, 6, 8, 3, 1, 5, 5, 5, 8, 2, 2, 1, 7, 1, 11, 5, 1, 2, 1, 8, 3, 11, 1, 9, 2, 1, 2, 8, 6, 8, 11, 5, 1, 6, 8, 6, 5, 8, 6, 6, 6, 6, 1, 2, 6, 9, 8, 2, 3, 4, 2, 3, 3, 11, 1, 3, 1, 6, 1, 8, 6, 10, 7, 1, 9, 7, 1, 0]",,0.06903076171875,1.3113021850585938e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 11, 2, 7, 4, 8, 9, 11, 2, 2, 2, 5, 3, 5, 2, 6, 1, 3, 1, 4, 6, 12, 9, 1, 10, 2, 5, 5, 3, 11, 3, 1, 5, 1, 5, 7, 2, 1, 8, 4, 7, 8, 3, 2, 2, 5, 1, 8, 3, 2, 1, 2, 10, 2, 11, 2, 6, 1, 1, 1, 9, 8, 9, 9, 4, 1, 8, 8, 7, 5, 5, 4, 5, 8, 6, 2, 2, 7, 6, 9, 1, 5, 4, 1, 4, 4, 12, 1, 3, 1, 5, 1, 7, 7, 7, 11, 1, 8, 3, 1, 0]",,0.20584392547607422,1.0967254638671875e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 9, 2, 6, 4, 6, 7, 9, 2, 2, 3, 6, 4, 6, 1, 3, 1, 3, 1, 7, 4, 10, 7, 1, 8, 1, 6, 8, 2, 8, 3, 1, 4, 2, 7, 7, 3, 1, 4, 2, 4, 7, 2, 2, 1, 7, 1, 6, 3, 2, 1, 2, 7, 1, 8, 2, 9, 1, 1, 2, 7, 6, 5, 7, 4, 1, 9, 11, 7, 6, 7, 4, 6, 6, 6, 1, 1, 7, 6, 11, 2, 5, 5, 1, 6, 5, 8, 1, 3, 1, 5, 1, 8, 6, 11, 12, 1, 7, 5, 1, 0]",,0.07027816772460938,1.1920928955078125e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 10, 1, 8, 6, 4, 8, 6, 1, 1, 1, 8, 3, 7, 1, 3, 1, 3, 1, 7, 3, 8, 5, 1, 10, 3, 7, 8, 4, 9, 2, 1, 8, 1, 6, 8, 3, 1, 5, 5, 6, 5, 3, 1, 1, 8, 1, 8, 3, 2, 2, 2, 9, 3, 10, 1, 9, 1, 1, 2, 10, 5, 6, 8, 4, 1, 5, 10, 6, 3, 9, 6, 4, 6, 9, 2, 1, 4, 6, 7, 2, 4, 3, 1, 5, 5, 9, 1, 3, 1, 6, 1, 8, 7, 9, 12, 1, 8, 4, 1, 0]",,0.06855297088623047,1.1920928955078125e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 8, 1, 5, 4, 4, 8, 6, 2, 2, 3, 8, 5, 4, 1, 3, 1, 1, 1, 4, 2, 7, 9, 2, 8, 2, 7, 5, 2, 7, 3, 1, 7, 1, 8, 8, 1, 1, 5, 3, 7, 7, 1, 2, 1, 4, 1, 10, 2, 1, 2, 1, 9, 2, 10, 2, 6, 1, 1, 1, 6, 5, 7, 11, 2, 1, 8, 8, 7, 6, 5, 4, 7, 8, 9, 1, 1, 6, 8, 12, 1, 5, 3, 1, 6, 4, 9, 1, 1, 1, 8, 1, 11, 5, 8, 10, 1, 6, 7, 1, 0]",,0.0697641372680664,1.0013580322265625e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 6, 1, 5, 3, 4, 7, 9, 3, 1, 1, 5, 3, 7, 1, 4, 1, 2, 1, 6, 5, 6, 6, 1, 7, 1, 7, 5, 5, 11, 2, 1, 8, 2, 6, 7, 2, 1, 5, 4, 4, 8, 1, 1, 2, 7, 1, 12, 4, 1, 1, 2, 7, 1, 11, 1, 8, 2, 1, 1, 7, 8, 6, 7, 4, 1, 9, 11, 3, 3, 5, 7, 6, 5, 10, 1, 1, 6, 7, 9, 2, 3, 5, 2, 5, 2, 12, 1, 3, 1, 8, 1, 9, 3, 10, 6, 1, 6, 7, 1, 0]",,0.07045984268188477,1.3113021850585938e-05
ubo100,3,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 10, 1, 6, 5, 8, 6, 12, 3, 1, 3, 4, 5, 5, 1, 6, 1, 1, 1, 5, 2, 8, 8, 2, 9, 1, 9, 9, 3, 9, 2, 1, 5, 2, 8, 9, 3, 1, 5, 5, 7, 7, 3, 2, 3, 4, 1, 9, 4, 1, 1, 1, 7, 2, 11, 2, 9, 2, 1, 1, 8, 8, 6, 7, 3, 1, 9, 8, 5, 4, 9, 8, 5, 8, 6, 1, 1, 6, 7, 7, 1, 3, 3, 2, 2, 2, 7, 1, 3, 1, 6, 1, 8, 3, 11, 6, 1, 5, 3, 1, 0]",,0.06761503219604492,1.2159347534179688e-05
