instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret
j10_2,proactive,10,27,inf,inf,0.0
j10_2,proactive,10,28,inf,inf,0.0
j10_2,proactive,10,29,inf,inf,0.0
j10_2,proactive,10,30,inf,inf,0.0
j10_2,proactive,10,31,inf,inf,0.0
j10_2,proactive,10,32,inf,inf,0.0
j10_2,proactive,10,33,inf,inf,0.0
j10_2,proactive,10,34,inf,inf,0.0
j10_2,proactive,10,35,inf,inf,0.0
j10_2,proactive,10,36,inf,inf,0.0
j10_2,proactive,10,37,inf,inf,0.0
j10_2,proactive,10,38,inf,inf,0.0
j10_2,proactive,10,39,inf,inf,0.0
j10_2,proactive,10,40,inf,inf,0.0
j10_2,proactive,10,41,inf,inf,0.0
j10_2,proactive,10,42,inf,inf,0.0
j10_2,proactive,10,43,inf,inf,0.0
j10_2,proactive,10,44,inf,inf,0.0
j10_2,proactive,10,45,inf,inf,0.0
j10_2,proactive,10,46,inf,inf,0.0
j10_2,proactive,10,47,inf,inf,0.0
j10_2,proactive,10,48,inf,inf,0.0
j10_2,proactive,10,49,inf,inf,0.0
j10_3,proactive,10,0,36.0,34.0,5.882352941176471
j10_3,proactive,10,1,38.0,37.0,2.7027027027027026
j10_3,proactive,10,2,36.0,35.0,2.857142857142857
j10_3,proactive,10,3,36.0,33.0,9.090909090909092
j10_3,proactive,10,4,37.0,34.0,8.823529411764707
j10_3,proactive,10,5,36.0,34.0,5.882352941176471
j10_3,proactive,10,6,36.0,33.0,9.090909090909092
j10_3,proactive,10,7,37.0,37.0,0.0
j10_3,proactive,10,8,36.0,33.0,9.090909090909092
j10_3,proactive,10,9,38.0,37.0,2.7027027027027026
j10_3,proactive,10,10,37.0,37.0,0.0
j10_3,proactive,10,11,36.0,35.0,2.857142857142857
j10_3,proactive,10,12,36.0,36.0,0.0
j10_3,proactive,10,13,38.0,36.0,5.555555555555555
j10_3,proactive,10,14,37.0,37.0,0.0
