,seed,makespan,lateness,nr_unfinished_products
65,71138,925.5942611720972,383.20737960578913,4
66,80144,919.1174550899079,333.2628451020181,1
67,4194,893.5321076191843,328.74985819958226,4
68,51999,904.8804345805871,535.8757217382393,1
69,15002,895.3295567900392,464.09644798555416,3
70,91468,913.1948717037639,377.0355847590081,4
71,74007,903.8375412102292,321.5755375021346,5
72,13198,912.6717625267406,332.21956949166577,5
73,43244,914.6293338145433,345.81043125076235,3
74,60947,908.427442565979,353.337662795969,3
75,79002,896.6196049340145,348.8064634755442,3
76,54997,898.7511351062999,307.8160801383758,3
77,47863,903.4452390319963,342.32298590640164,5
78,92416,940.1274298097336,342.3198942940544,8
79,22625,901.1630463254622,299.743218409139,5
80,48415,898.4811466090731,454.92543197312693,3
81,12246,914.533192361472,352.8741460940262,2
82,45166,919.5916396660896,381.1435591637022,3
83,15099,930.120971759758,395.7354473392953,5
84,71858,901.9623827527668,321.7869170132311,4
85,92461,905.6579866961284,339.57051855043915,4
86,4900,932.8876699086652,455.3560640332113,4
87,92665,905.3465741799782,365.5004926774783,4
88,3029,906.4138016217942,342.0565442503963,4
89,33612,918.209146763627,396.68242501127884,3
90,98554,916.9500484213136,489.9860537451773,5
91,23846,924.2051021333759,408.5109119018973,4
92,14088,904.396213642125,322.3152024031564,4
93,44750,907.988164443888,327.6671204487625,7
94,26279,932.4292264885437,352.57063189689234,3
95,47030,903.676566674289,369.1305032370892,3
96,48586,899.3935032891268,328.85576483790487,5
97,65276,914.68127510265,367.79604507412125,5
98,39674,909.7990930180852,352.56580372907035,2
99,84936,904.9459712630157,285.62371784000754,4
100,61841,922.6286138886878,381.8179702456873,6
101,29621,925.2290407853179,330.5434399803121,5
102,45452,902.7474695925506,329.5170427963991,3
103,42871,895.1811582645736,412.24331371177163,5
104,6707,927.3153666447771,385.0743926394829,4
105,22993,910.9001514736697,291.8430415387885,5
106,66037,911.2289302827076,179.6668007788678,5
107,51117,917.1836671199001,372.7992564935672,3
108,70853,920.7741531861176,396.71180146911695,3
109,97438,913.8253006865828,264.06233893659214,4
110,143,899.3627416740908,340.2566614739833,4
111,87838,905.2937826947343,352.6519512168603,4
112,89935,899.3490747447288,303.42788652809054,6
113,45584,918.2616420926337,305.2849140338451,4
114,30670,910.71669242029,337.71901965968925,4
115,49765,902.7365286989417,449.7023496943224,4
116,30691,901.2497643400211,324.7740002675439,5
117,49620,908.059631321325,351.8436846295309,5
118,63046,901.666295791793,371.97834127128874,4
119,68525,910.178114979538,408.2044113958294,3
120,4798,931.3486020541706,346.3569397786009,5
121,13070,901.903404660088,290.7186626880532,5
122,78554,909.1034511620185,330.05022257881205,3
123,53236,904.0065723322265,487.013567156799,4
124,17315,917.7132604410496,383.58039184022175,2
125,21363,903.6420996300794,463.24659059250246,3
126,43562,888.5907398274987,337.86686175222644,7
127,10863,919.3618522206956,373.420660447076,2
128,10820,917.1281264553259,363.73242355004766,4
129,72292,911.5740882267321,340.1007535920438,2
130,58998,917.0481466135219,486.05971838891344,2
131,78329,904.2223128081503,429.40100195327204,4
132,58958,912.6518136133188,334.30076582891206,2
133,15895,914.6552058498359,374.35323713176945,5
134,24399,911.2803845421078,365.5407612973081,3
135,32062,911.6728252849971,332.482120295625,3
136,25185,903.0936094385847,473.07471305018726,5
137,97155,921.9911924201416,407.1435049010505,2
138,79159,916.3866415224936,355.7815813865309,4
139,1400,905.514465133238,207.3187130577644,6
140,74701,919.2224025920888,375.8788640693268,5
141,60835,908.4227563841537,366.2853276919525,3
142,76635,913.004973039996,325.0776230046895,4
143,44183,914.7968142782272,370.6441501339067,6
144,12578,901.4193727993974,481.3125221501799,3
145,85738,923.7497608836773,327.4362792783161,6
146,45531,906.8852431465966,319.2461237048733,3
147,45132,895.9851103360676,345.8527278417831,3
148,4949,917.2590660388778,380.51751763194284,3
149,1088,910.9893157853908,393.5570968155299,4
150,808,915.4105294950641,325.19072165381704,5
151,3455,909.7064731777937,505.3431525485896,4
152,74326,901.8351914982994,181.52433648186434,5
153,16262,928.4978502710885,343.43661734984335,5
154,91341,919.115325436787,353.0918211238363,5
155,36576,909.7597221668027,334.83853984392204,4
156,21593,896.6251223853773,461.01077841728716,2
157,4609,915.1822307934701,431.09057400357096,3
158,12950,916.9675001010247,354.4180390224351,3
159,49642,907.6075364126795,372.78445862157037,3
160,99728,909.6368286386247,281.4881722925337,5
161,81183,901.6568818967208,475.26424877596514,3
162,40698,907.8283871730088,348.5190466865066,1
163,1862,908.058439583139,304.0211049159384,6
164,43160,915.1670311263618,363.1339612534923,3
165,27314,924.3937070141735,331.65708027776395,6
166,27148,908.4860443743869,318.56662779307226,4
167,79440,913.390770505134,492.90355441507575,4
168,29195,917.2148677749012,345.524022361814,4
169,24028,906.3358986776948,279.2847741882042,6
170,65922,917.6130764486476,417.2668999444261,3
171,19050,893.7618194211584,324.37754800713276,5
172,26695,922.0276880262974,451.8970531904894,4
173,13160,913.8338507483895,377.9908032919245,4
174,63461,908.2335657239234,361.6468360498668,3
175,43328,906.1171780299563,364.77299188657526,4
176,51975,914.2870418826252,357.2005228108536,4
177,41731,914.429853394983,407.9727365500099,3
178,48897,908.2408823506397,359.73213700019573,5
179,305,912.9005674310174,319.95511321918775,5
180,53737,908.5199597706992,411.7623280215478,5
181,41568,918.0836720994291,471.1946187539254,4
182,33363,926.9959052543933,362.9057616956578,3
183,16711,911.4879994503351,467.5507403183417,3
184,22995,922.5209037388156,343.71356524473833,4
185,92321,929.4128947440427,376.133725581356,5
186,59126,929.5919646562712,412.8641988812867,3
187,50423,906.8496094019151,373.9117661695316,4
188,90046,899.3651541783256,332.0573245999723,5
189,8849,897.997427604346,298.6564110887182,5
190,73239,903.8468659862853,349.5627471238322,6
191,50436,897.1302902159237,307.4784334828289,4
192,54870,913.8905876567603,360.28177559809717,5
193,73690,924.1883107214993,342.3451007118164,5
194,26121,920.7523867736584,424.26113713033897,4
195,40775,897.3927103125618,449.51323653784834,3
196,71906,904.3772403317129,367.68850332772774,6
197,24739,907.8264579422095,313.8767613726411,6
198,65154,909.5483709226501,465.80172505127723,4
