instance_id,method,real_durations,rel_regret
3,proactive,"[0, 1, 7, 3, 6, 4, 1, 4, 4, 10, 6, 0]",2.857142857142857
3,proactive,"[0, 1, 8, 3, 8, 5, 1, 3, 4, 11, 4, 0]",5.714285714285714
3,reactive,"[0, 1, 4, 1, 10, 5, 2, 2, 6, 9, 3, 0]",0.0
3,reactive,"[0, 1, 4, 2, 8, 7, 2, 2, 2, 11, 6, 0]",9.090909090909092
4,proactive,"[0, 6, 1, 6, 1, 7, 1, 4, 7, 8, 5, 0]",14.285714285714286
4,proactive,"[0, 6, 2, 5, 1, 9, 1, 2, 5, 12, 8, 0]",23.529411764705884
4,proactive,"[0, 6, 2, 5, 2, 8, 1, 3, 6, 9, 7, 0]",17.647058823529413
4,proactive,"[0, 7, 2, 3, 2, 8, 1, 5, 3, 10, 7, 0]",14.285714285714286
4,proactive,"[0, 8, 1, 2, 1, 6, 1, 4, 7, 12, 8, 0]",10.526315789473683
4,proactive,"[0, 8, 1, 5, 1, 9, 1, 5, 3, 12, 7, 0]",7.6923076923076925
4,proactive,"[0, 8, 1, 5, 3, 7, 1, 2, 7, 6, 5, 0]",11.11111111111111
4,proactive,"[0, 8, 2, 5, 3, 5, 1, 4, 6, 11, 5, 0]",5.128205128205129
4,reactive,"[0, 8, 2, 4, 1, 9, 1, 5, 3, 6, 4, 0]",8.108108108108109
5,proactive,"[0, 10, 10, 2, 2, 2, 5, 6, 1, 3, 7, 0]",24.13793103448276
5,proactive,"[0, 11, 9, 2, 2, 1, 9, 5, 2, 4, 8, 0]",12.12121212121212
5,proactive,"[0, 11, 9, 2, 2, 2, 6, 5, 2, 5, 11, 0]",0.0
5,proactive,"[0, 6, 10, 1, 3, 1, 9, 3, 1, 4, 9, 0]",23.33333333333333
5,proactive,"[0, 6, 8, 1, 1, 1, 7, 4, 1, 3, 10, 0]",28.571428571428573
5,proactive,"[0, 7, 10, 1, 3, 2, 8, 5, 2, 4, 7, 0]",20.0
5,proactive,"[0, 7, 9, 2, 1, 2, 9, 3, 1, 4, 7, 0]",19.35483870967742
5,proactive,"[0, 8, 11, 1, 1, 2, 8, 4, 2, 3, 10, 0]",5.882352941176471
5,proactive,"[0, 8, 9, 1, 2, 1, 9, 3, 2, 3, 7, 0]",23.33333333333333
5,proactive,"[0, 9, 7, 1, 1, 1, 5, 5, 1, 4, 10, 0]",33.333333333333336
5,reactive,"[0, 8, 9, 1, 2, 1, 7, 4, 1, 4, 11, 0]",0.0
5,reactive,"[0, 9, 6, 1, 2, 1, 7, 3, 1, 3, 10, 0]",13.79310344827586
7,proactive,"[0, 11, 1, 2, 9, 6, 6, 6, 2, 7, 3, 0]",7.142857142857143
7,proactive,"[0, 8, 1, 5, 7, 7, 3, 2, 3, 7, 3, 0]",7.317073170731708
7,proactive,"[0, 9, 1, 3, 7, 7, 6, 4, 1, 7, 2, 0]",7.142857142857143
7,proactive,"[0, 9, 1, 4, 11, 7, 5, 2, 2, 10, 1, 0]",0.0
7,reactive,"[0, 8, 1, 3, 11, 7, 6, 4, 2, 8, 2, 0]",4.761904761904762
8,proactive,"[0, 10, 8, 4, 10, 4, 1, 2, 1, 1, 2, 0]",15.789473684210526
8,proactive,"[0, 6, 8, 4, 7, 3, 2, 1, 1, 1, 2, 0]",18.91891891891892
8,proactive,"[0, 6, 9, 5, 7, 4, 2, 3, 1, 1, 3, 0]",15.789473684210526
8,proactive,"[0, 7, 12, 2, 9, 7, 3, 2, 1, 1, 2, 0]",7.317073170731708
8,proactive,"[0, 8, 12, 5, 10, 3, 3, 2, 2, 1, 1, 0]",7.317073170731708
