,Activity,Product,Resource,Request moment,Start,Finish
153,15_0,15,Fermenter_4,0,275,442
154,17_10,17,Buffer tanks,129,412,447
155,18_0,18,Fermenter_3,0,315,450
156,5_9,5,Microfilter,121,383,467
157,17_11,17,Microfilter,129,432,468
158,5_10,5,Buffer tanks,121,400,471
159,17_12,17,Buffer tanks,129,438,474
160,19_10,19,Buffer tanks,121,404,475
161,5_12,5,Microfilter,131,438,475
162,19_9,19,Microfilter,121,393,477
163,13_0,13,Fermenter_1,0,416,492
164,9_5,9,Microfilter,132,468,497
165,8_2,8,Filters B,150,401,499
166,9_8,9,Buffer tanks,145,475,502
167,9_7,9,Microfilter,145,475,502
168,9_6,9,Buffer tanks,132,474,503
169,19_12,19,Microfilter,131,467,504
170,0_3,0,Microfilter,147,477,519
171,5_11,5,Buffer tanks,131,447,521
172,4_3,4,Microfilter,149,497,540
173,0_4,0,Buffer tanks,147,502,544
174,19_11,19,Buffer tanks,131,471,545
175,2_3,2,Microfilter,151,519,547
176,17_0,17,Fermenter_4,0,442,548
177,4_4,4,Buffer tanks,147,503,548
178,15_10,15,Microfilter,149,502,563
179,2_4,2,Buffer tanks,151,545,573
180,15_11,15,Buffer tanks,148,521,583
181,14_0,14,Fermenter_2,0,400,599
182,19_0,19,Fermenter_3,0,450,600
183,4_5,4,Microfilter,163,563,606
184,15_12,15,Microfilter,159,547,608
185,4_6,4,Buffer tanks,163,583,626
186,8_3,8,Microfilter,150,504,628
187,14_6,14,Buffer tanks,156,548,635
188,15_13,15,Buffer tanks,158,573,635
189,14_7,14,Microfilter,158,540,652
190,2_5,2,Microfilter,166,628,656
191,2_6,2,Buffer tanks,166,635,663
192,15_1,15,Microfilter,164,606,666
193,8_4,8,Buffer tanks,150,544,668
194,15_14,15,Microfilter,164,608,668
195,12_4,12,Buffer tanks,172,635,679
196,16_0,16,Fermenter_2,0,599,681
197,7_7,7,Microfilter,177,656,689
198,12_3,12,Microfilter,172,652,696
199,7_9,7,Microfilter,181,666,699
200,12_5,12,Microfilter,190,668,712
201,7_8,7,Buffer tanks,176,679,712
202,15_2,15,Buffer tanks,174,663,713
203,15_15,15,Buffer tanks,174,668,718
204,15_9,15,Buffer tanks,164,626,730
205,14_12,14,Microfilter,202,689,731
206,7_10,7,Buffer tanks,180,712,745
207,15_16,15,Microfilter,209,696,756
208,12_6,12,Buffer tanks,190,718,762
209,14_11,14,Buffer tanks,192,730,766
210,14_8,14,Buffer tanks,189,713,794
