,seed,makespan,lateness,nr_unfinished_products
303,19442,924.0,180.0,0
304,33873,946.0,217.0,0
305,94294,911.0,167.0,0
306,43271,924.0,180.0,0
307,29881,955.0,235.0,0
308,18228,942.0,209.0,0
309,48018,919.0,175.0,0
310,16749,923.0,179.0,0
311,63645,917.0,173.0,0
312,91549,940.0,205.0,0
313,4642,924.0,180.0,0
314,67242,944.0,213.0,0
315,88125,928.0,184.0,0
316,99428,927.0,183.0,0
317,65473,939.0,203.0,0
318,20567,922.0,178.0,0
319,25700,943.0,211.0,0
320,88601,934.0,193.0,0
321,29305,926.0,182.0,0
322,27726,934.0,193.0,0
323,73638,932.0,189.0,0
324,42763,944.0,213.0,0
325,78209,917.0,173.0,0
326,90870,930.0,186.0,0
327,71744,925.0,181.0,0
328,29756,918.0,174.0,0
329,73483,939.0,203.0,0
330,43435,930.0,186.0,0
331,10935,925.0,181.0,0
332,10718,945.0,215.0,0
333,66851,934.0,193.0,0
334,11014,924.0,180.0,0
335,71090,938.0,201.0,0
336,87054,922.0,178.0,0
337,55507,925.0,181.0,0
338,22879,946.0,217.0,0
339,22118,932.0,189.0,0
340,73052,921.0,177.0,0
341,55593,931.0,187.0,0
342,85472,936.0,197.0,0
343,3817,912.0,168.0,0
344,9257,921.0,177.0,0
345,61686,939.0,203.0,0
346,48490,931.0,187.0,0
347,5131,938.0,201.0,0
348,85581,924.0,180.0,0
349,22058,939.0,203.0,0
350,12321,930.0,186.0,0
351,76205,926.0,182.0,0
352,4193,926.0,182.0,0
353,30595,931.0,187.0,0
354,12594,923.0,179.0,0
355,45050,925.0,181.0,0
356,5006,925.0,181.0,0
357,25029,942.0,209.0,0
358,97393,930.0,186.0,0
359,1738,921.0,177.0,0
360,42245,936.0,197.0,0
361,4116,929.0,185.0,0
362,67850,926.0,182.0,0
363,55368,922.0,178.0,0
364,38598,940.0,205.0,0
365,39050,946.0,217.0,0
366,95022,919.0,175.0,0
367,23785,938.0,201.0,0
368,70357,921.0,177.0,0
369,3787,933.0,191.0,0
370,48025,940.0,205.0,0
371,32379,935.0,195.0,0
372,29474,930.0,186.0,0
373,50731,931.0,187.0,0
374,34823,944.0,213.0,0
375,45902,935.0,195.0,0
376,4663,932.0,189.0,0
377,33072,946.0,217.0,0
378,71198,942.0,209.0,0
379,31484,929.0,185.0,0
380,20231,927.0,183.0,0
381,17010,951.0,227.0,0
382,29898,939.0,203.0,0
383,19752,926.0,182.0,0
384,50808,923.0,179.0,0
385,5235,932.0,189.0,0
386,96868,922.0,178.0,0
387,64572,928.0,184.0,0
388,41194,918.0,174.0,0
389,23949,925.0,181.0,0
390,66971,937.0,199.0,0
391,34990,925.0,181.0,0
392,49246,933.0,191.0,0
393,77758,915.0,171.0,0
394,14289,936.0,197.0,0
395,45279,940.0,205.0,0
396,62545,924.0,180.0,0
397,71165,946.0,217.0,0
398,56190,914.0,170.0,0
399,62031,931.0,187.0,0
400,50951,941.0,207.0,0
401,84503,921.0,177.0,0
402,1134,926.0,182.0,0
403,21392,940.0,205.0,0
404,96362,936.0,197.0,0
405,49755,925.0,181.0,0
406,5257,923.0,179.0,0
407,58109,918.0,174.0,0
408,75639,948.0,221.0,0
409,70958,918.0,174.0,0
410,31241,928.0,184.0,0
411,84299,931.0,187.0,0
412,56733,925.0,181.0,0
413,87663,927.0,183.0,0
414,97753,917.0,173.0,0
415,54881,926.0,182.0,0
416,19019,917.0,173.0,0
417,88267,952.0,229.0,0
418,4712,947.0,219.0,0
419,17313,939.0,203.0,0
420,16866,935.0,195.0,0
421,47444,937.0,199.0,0
422,13459,909.0,165.0,0
423,13472,940.0,205.0,0
424,19674,935.0,195.0,0
425,26047,938.0,201.0,0
426,47709,936.0,197.0,0
427,87664,937.0,199.0,0
428,76533,935.0,195.0,0
429,90256,923.0,179.0,0
430,9414,925.0,181.0,0
431,26327,935.0,195.0,0
432,46162,934.0,193.0,0
433,67999,929.0,185.0,0
434,97301,909.0,165.0,0
435,39949,939.0,203.0,0
436,35473,948.0,221.0,0
437,41915,935.0,195.0,0
438,65037,939.0,203.0,0
439,2926,933.0,191.0,0
440,29295,932.0,189.0,0
441,35193,924.0,180.0,0
442,69927,913.0,169.0,0
443,27241,943.0,211.0,0
444,1327,948.0,221.0,0
445,74541,938.0,201.0,0
446,85244,916.0,172.0,0
447,54660,925.0,181.0,0
448,52320,937.0,199.0,0
449,72310,930.0,186.0,0
450,1690,928.0,184.0,0
451,31852,935.0,195.0,0
452,7625,915.0,171.0,0
453,22763,917.0,173.0,0
454,99495,910.0,166.0,0
455,50941,922.0,178.0,0
456,84225,912.0,168.0,0
457,74604,921.0,177.0,0
458,32739,918.0,174.0,0
459,97317,926.0,182.0,0
460,8935,917.0,173.0,0
461,38894,923.0,179.0,0
462,39898,934.0,193.0,0
463,59122,934.0,193.0,0
464,15710,935.0,195.0,0
465,47906,921.0,177.0,0
466,46137,932.0,189.0,0
467,94863,916.0,172.0,0
468,31928,922.0,178.0,0
469,15755,928.0,184.0,0
470,33207,921.0,177.0,0
471,53954,924.0,180.0,0
472,48601,928.0,184.0,0
473,1115,917.0,173.0,0
474,8518,913.0,169.0,0
475,53982,924.0,180.0,0
476,35565,921.0,177.0,0
477,39319,947.0,219.0,0
478,15906,921.0,177.0,0
479,83139,924.0,180.0,0
480,90148,923.0,179.0,0
481,93525,918.0,174.0,0
482,63487,928.0,184.0,0
483,98811,907.0,163.0,0
484,66058,928.0,184.0,0
485,80464,938.0,201.0,0
486,75553,932.0,189.0,0
487,42370,928.0,184.0,0
488,68889,926.0,182.0,0
489,18589,930.0,186.0,0
490,8442,922.0,178.0,0
491,25829,933.0,191.0,0
492,73877,930.0,186.0,0
493,54734,916.0,172.0,0
494,94588,910.0,166.0,0
495,65061,918.0,174.0,0
496,24051,927.0,183.0,0
497,26251,929.0,185.0,0
498,25537,909.0,165.0,0
499,10758,924.0,180.0,0
500,82730,932.0,189.0,0
501,46832,918.0,174.0,0
502,44544,928.0,184.0,0
503,20693,925.0,181.0,0
504,49345,917.0,173.0,0
505,96548,934.0,193.0,0
506,87891,918.0,174.0,0
507,28073,931.0,187.0,0
508,64422,922.0,178.0,0
509,82798,925.0,181.0,0
510,35935,923.0,179.0,0
511,2788,937.0,199.0,0
512,12145,925.0,181.0,0
513,78680,933.0,191.0,0
514,6874,916.0,172.0,0
515,37873,920.0,176.0,0
516,35352,936.0,197.0,0
517,80560,959.0,243.0,0
518,15851,933.0,191.0,0
519,52331,932.0,189.0,0
520,71280,928.0,184.0,0
521,3780,926.0,182.0,0
522,33409,939.0,203.0,0
523,87635,941.0,207.0,0
524,64951,935.0,195.0,0
525,9035,932.0,189.0,0
526,77719,942.0,209.0,0
527,61028,930.0,186.0,0
528,32124,932.0,189.0,0
529,16888,926.0,182.0,0
530,40864,934.0,193.0,0
531,94,938.0,201.0,0
532,1645,937.0,199.0,0
533,77673,938.0,201.0,0
534,45788,935.0,195.0,0
535,32657,950.0,225.0,0
536,69682,926.0,182.0,0
537,88198,921.0,177.0,0
538,48923,932.0,189.0,0
539,20141,919.0,175.0,0
540,12277,919.0,175.0,0
541,27665,930.0,186.0,0
542,77421,920.0,176.0,0
543,76568,935.0,195.0,0
544,51668,932.0,189.0,0
545,18521,926.0,182.0,0
546,64033,923.0,179.0,0
547,29782,919.0,175.0,0
548,16270,934.0,193.0,0
549,3816,931.0,187.0,0
550,35388,924.0,180.0,0
551,76838,922.0,178.0,0
552,19422,931.0,187.0,0
553,62859,923.0,179.0,0
554,40647,931.0,187.0,0
555,85398,921.0,177.0,0
556,71448,932.0,189.0,0
557,20450,934.0,193.0,0
558,29972,931.0,187.0,0
559,58186,934.0,193.0,0
560,29705,929.0,185.0,0
561,39473,929.0,185.0,0
562,48979,935.0,195.0,0
563,25092,927.0,183.0,0
564,95084,956.0,237.0,0
565,90108,965.0,255.0,0
