,seed,makespan,lateness,nr_unfinished_products
70,78610,956.1373122492471,240.83336783706045,0
71,34063,907.4172091444829,163.41720914448285,0
72,60968,932.0878786505384,215.12645837291439,0
73,56039,938.8082365054206,213.5409524999202,0
74,21402,916.9447388651578,205.24223027721553,0
75,36695,931.5203892705728,187.52038927057276,0
76,58844,971.5301832194963,264.4822807797417,0
77,35039,926.1497755063787,194.56424545151708,0
78,26025,931.1194384527348,195.07919770822082,0
79,14388,958.1765382618855,214.37964406726508,0
80,81862,959.7654991564966,224.1016661469115,0
81,31885,933.7750304619336,203.76669397389014,0
82,93216,925.7945653990863,210.3696312016333,0
83,78943,969.3107255562836,257.056121951921,0
84,42843,898.3461816747974,154.34618167479744,0
85,50098,932.2409356001956,188.2409356001956,0
86,2271,929.0386822860347,185.0386822860347,0
87,59575,931.2712072213054,188.9350840995836,0
88,92190,956.0050336750041,225.56264274061812,0
89,51383,964.4624016261087,263.7629148536038,0
90,7766,971.5436318886726,268.00764316842117,0
91,70037,932.2308467926024,225.96438286583907,0
92,8081,934.390135419678,202.68578452791303,0
93,8874,987.4452749157224,275.7865247529463,0
94,84733,973.4250145698758,246.43531736847387,0
95,31997,922.892283923439,178.89228392343898,0
96,46901,944.9186536651576,200.91865366515765,0
97,720,920.6877072218631,176.6877072218631,0
98,88625,934.5520767174165,190.55207671741653,0
99,36076,934.1087026818294,193.94334778926645,0
100,5351,931.471005720514,199.88249445957968,0
101,30802,944.4160858727765,200.41608587277653,0
102,17958,926.432426091596,182.43242609159597,0
103,53327,969.6505479326238,242.9985534477962,0
104,86836,933.9570376005811,206.88192878310508,0
105,58059,925.2868226530255,181.28682265302552,0
106,12846,945.2830057056241,215.13722746587905,0
107,4770,917.8170809588547,177.61184510312864,0
108,93620,939.7243182058512,200.03387788922396,0
109,99826,939.1730903121575,197.54210812328495,0
110,2579,937.9251553841981,209.41322335970654,0
111,93940,923.2789503608476,197.80425262380152,0
112,57365,935.9734729696008,199.4080014750158,0
113,44293,959.596493013481,215.596493013481,0
114,83617,942.3987595307016,198.39875953070157,0
115,63712,937.8781694920608,197.46826892709078,0
116,10496,922.805614627264,179.39587093801083,0
117,96891,945.8549016005427,211.27446090105434,0
118,11879,940.0425591532555,213.89643541532973,0
119,96693,926.5918296224648,183.07590740360615,0
120,22786,939.267555781168,198.73646902712653,0
121,57722,975.4249801452319,272.91341250680057,0
122,34639,962.3996637905185,258.80367326256976,0
123,64076,942.3153851577978,198.31538515779778,0
124,5779,990.4542888456193,282.86213979199556,0
125,2770,953.1126612102037,209.11266121020367,0
126,33729,943.0381324345598,218.05054227384278,0
127,18401,936.4802354744164,201.89385208927808,0
128,63439,915.8596493538821,192.1713346215097,0
129,91613,949.5175114994684,212.4866869197566,0
130,80996,931.4934816466636,195.25291199172716,0
131,96069,993.0531868735295,266.99360120664994,0
132,83677,920.701616686325,189.6062898660407,0
133,64377,936.0442634882345,201.8507555044729,0
134,90365,950.1292028506696,227.8827188720453,0
135,20183,919.8771626104605,175.87716261046046,0
136,3576,925.8863059562993,181.88630595629934,0
137,86248,948.8145392239237,206.1966705274782,0
138,11683,914.0468093200352,192.98847255185206,0
139,64778,930.1360081397762,186.1360081397762,0
140,8837,936.8553982020159,194.7924368526776,0
141,17014,956.424897999199,212.42489799919895,0
142,12831,939.8257228020343,203.01061335254633,0
143,70690,927.2965032976117,183.2965032976117,0
144,68394,948.5926114322763,211.2885255029156,0
145,3953,924.2821016416758,180.2821016416758,0
146,60078,966.2531555425226,259.8294866197439,0
147,65794,961.6304644229186,217.63046442291864,0
148,7791,989.8328705770834,286.69320581183365,0
149,51969,939.7721892843751,195.77218928437514,0
150,87710,933.7412387609127,207.604876620367,0
151,39468,929.1082223858846,198.2276847582741,0
152,51108,954.2637402852607,246.14565664087127,0
153,63433,964.5699127805591,227.07602447550357,0
154,57013,946.8848936181555,202.8848936181555,0
155,15332,922.5804472080732,178.58044720807322,0
156,98235,966.3090241705997,231.08379844175818,0
157,37461,914.6342667163266,185.93274983911476,0
158,60112,938.1273303288776,216.55970015455944,0
159,34014,954.686571732658,220.09463209715136,0
160,99808,936.7905188390098,202.37931990633763,0
161,32641,939.2991376861603,197.1003017931647,0
162,33791,969.89378351766,257.3568998076589,0
163,90596,960.6670978058139,245.99599998816223,0
164,55334,945.7421513823351,201.74215138233512,0
165,67904,954.9648034282964,222.0770478143313,0
166,38005,936.8828619064645,192.88286190646454,0
167,46200,949.3227365094111,215.3697001851125,0
168,7439,962.2571664549149,238.3980130266807,0
169,55594,976.1505062598279,242.41664201649132,0
170,28603,948.0888488805846,232.0175697856621,0
171,56241,952.4248271590923,215.68749602749153,0
172,47523,967.5530103264236,252.5789604039337,0
173,23343,940.3057852045076,197.63050447115995,0
174,75673,961.0015143121734,240.607976177801,0
175,95400,934.6176703783433,190.6176703783433,0
176,42117,928.1843675930656,220.87159160704277,0
177,4048,928.9564982401217,206.93513288239103,0
178,23081,964.1721078348519,255.13813462459007,0
179,76770,990.5493816185113,277.3395317250587,0
180,23356,928.2888568361732,187.1229650078535,0
181,22002,948.6051266588133,208.85658380459677,0
182,56713,955.0773963493565,228.69886556759764,0
183,22953,934.5331533993717,211.18066570415772,0
184,54991,938.2119329263132,209.00396135801293,0
185,1202,943.3461211420176,203.7011523738429,0
186,76220,945.974723274969,213.1763276033588,0
187,59786,941.4877735399982,198.07441194366925,0
188,51813,912.538512781282,182.7420713559951,0
189,51533,976.5013496965555,272.70378412244224,0
190,46573,919.1684447468067,180.26722310013201,0
191,51928,970.3822951107283,257.23137159316263,0
192,49856,951.692919002994,208.7196673062016,0
193,26792,958.9043465290738,216.94445862862324,0
194,27821,927.7824961843643,192.15457905756466,0
195,76535,966.347088224303,243.86954825292696,0
196,65601,941.0247725268854,213.56382748356498,0
197,22126,955.6480233788614,239.48295981461388,0
198,97405,959.0689833675451,231.67766901203152,0
199,8226,975.806283374363,252.38122502746353,0
200,20479,962.0548417315379,235.92461126443504,0
201,7905,938.4974343152041,202.80760393445405,0
202,29797,978.6713235354257,276.033862602526,0
203,34871,936.0755028142025,201.57936121149646,0
204,40553,931.0187498441586,193.76656414974605,0
205,19522,971.9428159930973,253.65029090717292,0
206,548,959.4429563646971,229.3764864008998,0
207,56443,930.3609506426137,196.67555325306137,0
208,519,944.9485370437587,251.63535773575768,0
209,65204,941.647819859715,197.647819859715,0
210,39018,967.5286806858253,256.94540283289064,0
211,82421,924.2494610122244,183.12618833363854,0
212,45109,904.8209847904619,160.82098479046192,0
213,8372,969.3919513339418,260.8101738804462,0
214,90569,927.0070580894924,183.00705808949238,0
215,46193,910.1672105553018,166.16721055530184,0
216,50514,962.2922386605767,236.63771510472827,0
217,96077,961.2823294576722,232.41120168878513,0
218,38143,961.4336085754477,218.16398236819748,0
219,10756,946.6609119345857,248.04043754983047,0
220,78159,942.4101842156199,222.77638750948768,0
221,63727,939.3201935034486,197.0657016458672,0
222,49745,961.6911745345876,263.6114884939741,0
223,97434,956.3794848571619,235.41553214956377,0
224,48795,994.2411182973103,291.4444365738145,0
225,91190,924.3895772413979,186.808157043116,0
226,51737,949.536662432446,232.81322290942467,0
227,34506,955.7244147908846,251.04643923658466,0
228,31704,982.1470043150592,290.9546026243414,0
229,83924,925.238477388648,197.2575323072606,0
230,35368,915.4308240789422,173.92549292653143,0
231,16884,963.628787597257,235.08137184302052,0
232,45149,942.7221284018483,199.49597035872318,0
233,67297,942.4768103076726,203.47103736750853,0
234,40769,945.8076154958961,220.42679672553152,0
235,70252,962.8155725030476,218.81557250304763,0
236,51175,914.4461510179943,170.44615101799434,0
237,97516,929.4642519496272,197.39968961883983,0
238,78300,950.8107219449334,238.41838288390454,0
239,43912,929.3757285062553,185.3757285062553,0
240,54990,973.3624948163026,234.5607315079235,0
241,40158,943.2640983129604,237.98106160076247,0
242,98818,927.1225248453009,205.08266044838047,0
243,79951,952.5795641055831,224.14624036421355,0
244,48481,925.4389936706211,193.66752893734906,0
245,7889,930.6266761328394,192.4251738678954,0
246,53630,957.8968369152814,229.30378533562634,0
247,88232,940.9725736808208,221.00791508324494,0
248,90927,931.4608416042579,187.4608416042579,0
249,24497,926.9715286618898,210.7699922428294,0
