instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,nb_scenarios_saa,obj_pi
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 9, 1, 3, 7, 8, 2, 2, 3, 8, 2, 0]",quantile_0.5,1,42.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 9, 1, 2, 8, 5, 2, 3, 2, 11, 1, 0]",quantile_0.5,1,45.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 11, 9, 2, 6, 4, 2, 1, 1, 1, 2, 0]",quantile_0.5,1,40.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 10, 11, 2, 7, 5, 1, 3, 2, 1, 3, 0]",quantile_0.5,1,41.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 10, 9, 2, 8, 7, 2, 3, 1, 1, 1, 0]",quantile_0.5,1,39.0
j10,8,proactive_quantile_0.5,60,True,38.0,0.04923605918884277,0.0001919269561767578,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 7, 7, 5, 6, 4, 2, 2, 1, 1, 2, 0]",quantile_0.5,1,36.0
j10,8,proactive_quantile_0.5,60,True,38.0,0.04923605918884277,0.0001800060272216797,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 7, 6, 2, 7, 3, 1, 2, 2, 1, 3, 0]",quantile_0.5,1,35.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 7, 6, 4, 9, 4, 2, 1, 1, 1, 2, 0]",quantile_0.5,1,35.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 9, 10, 4, 10, 3, 2, 2, 1, 1, 1, 0]",quantile_0.5,1,39.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 10, 7, 5, 8, 5, 2, 1, 1, 1, 2, 0]",quantile_0.5,1,37.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 9, 12, 5, 11, 7, 2, 2, 2, 1, 3, 0]",quantile_0.5,1,41.0
j10,8,proactive_quantile_0.5,60,False,inf,0.04923605918884277,inf,"[0, 9, 0, 2, 18, 27, 26, 35, 26, 34, 32, 38]","[0, 6, 6, 4, 8, 4, 1, 3, 1, 1, 3, 0]",quantile_0.5,1,35.0
j10,9,proactive_quantile_0.5,60,False,inf,0.05105400085449219,inf,"[0, 1, 6, 0, 1, 9, 16, 23, 30, 24, 21, 40]","[0, 5, 10, 1, 7, 8, 3, 5, 7, 7, 5, 0]",quantile_0.5,1,40.0
