,instance_folder,instance_id,method,time_limit,feasibility
122,j20,26,robust,60,True
123,j20,26,robust,60,True
124,j20,26,robust,60,True
125,j20,26,robust,60,True
126,j20,26,robust,60,True
127,j20,26,robust,60,True
128,j20,26,robust,60,True
129,j20,26,robust,60,True
130,j20,27,robust,60,True
131,j20,27,robust,60,True
132,j20,27,robust,60,True
133,j20,27,robust,60,True
134,j20,27,robust,60,True
135,j20,27,robust,60,True
136,j20,27,robust,60,True
137,j20,27,robust,60,True
138,j20,27,robust,60,True
139,j20,27,robust,60,True
140,j20,28,robust,60,True
141,j20,28,robust,60,True
142,j20,28,robust,60,True
143,j20,28,robust,60,True
144,j20,28,robust,60,True
145,j20,28,robust,60,True
146,j20,28,robust,60,True
147,j20,28,robust,60,True
148,j20,28,robust,60,True
149,j20,28,robust,60,True
150,j20,35,robust,60,True
151,j20,35,robust,60,True
152,j20,35,robust,60,True
153,j20,35,robust,60,True
154,j20,35,robust,60,True
155,j20,35,robust,60,True
156,j20,35,robust,60,True
157,j20,35,robust,60,True
158,j20,35,robust,60,True
159,j20,35,robust,60,True
160,j20,36,robust,60,True
161,j20,36,robust,60,True
162,j20,36,robust,60,True
163,j20,36,robust,60,True
164,j20,36,robust,60,True
165,j20,36,robust,60,True
166,j20,36,robust,60,True
167,j20,36,robust,60,True
168,j20,36,robust,60,True
169,j20,36,robust,60,True
170,j20,38,robust,60,True
171,j20,38,robust,60,True
172,j20,38,robust,60,True
173,j20,38,robust,60,True
174,j20,38,robust,60,True
175,j20,38,robust,60,True
176,j20,38,robust,60,True
177,j20,38,robust,60,True
178,j20,38,robust,60,True
179,j20,38,robust,60,True
180,j20,42,robust,60,True
181,j20,42,robust,60,True
182,j20,42,robust,60,True
183,j20,42,robust,60,True
184,j20,42,robust,60,True
185,j20,42,robust,60,True
186,j20,42,robust,60,True
187,j20,42,robust,60,True
188,j20,42,robust,60,True
189,j20,42,robust,60,True
190,j20,45,robust,60,True
191,j20,45,robust,60,True
192,j20,45,robust,60,True
193,j20,45,robust,60,True
194,j20,45,robust,60,True
195,j20,45,robust,60,True
196,j20,45,robust,60,True
197,j20,45,robust,60,True
198,j20,45,robust,60,True
199,j20,45,robust,60,True
200,j20,46,robust,60,True
201,j20,46,robust,60,True
202,j20,46,robust,60,True
203,j20,46,robust,60,True
204,j20,46,robust,60,True
205,j20,46,robust,60,True
206,j20,46,robust,60,True
207,j20,46,robust,60,True
208,j20,46,robust,60,True
209,j20,46,robust,60,True
210,j20,48,robust,60,True
211,j20,48,robust,60,True
212,j20,48,robust,60,True
213,j20,48,robust,60,True
214,j20,48,robust,60,True
215,j20,48,robust,60,True
216,j20,48,robust,60,True
217,j20,48,robust,60,True
218,j20,48,robust,60,True
219,j20,48,robust,60,True
220,j20,50,robust,60,True
221,j20,50,robust,60,True
222,j20,50,robust,60,True
223,j20,50,robust,60,True
224,j20,50,robust,60,True
225,j20,50,robust,60,True
226,j20,50,robust,60,True
227,j20,50,robust,60,True
228,j20,50,robust,60,True
229,j20,50,robust,60,True
