instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online,mode
j10,5,34.375,43.0,32.0,reactive,60,10,60,12,True,True,"[0, 8, 9, 2, 2, 2, 9, 7, 1, 4, 7, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03649187088012695,0.3643789291381836,robust
j10,5,36.666666666666664,41.0,30.0,reactive,60,10,60,12,True,True,"[0, 9, 6, 2, 1, 2, 7, 5, 1, 4, 9, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03597593307495117,0.38593626022338867,robust
j10,5,46.42857142857143,41.0,28.0,reactive,60,10,60,12,True,True,"[0, 8, 8, 1, 1, 2, 7, 3, 1, 3, 7, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03367114067077637,0.37647390365600586,robust
j10,5,41.37931034482759,41.0,29.0,reactive,60,10,60,12,True,True,"[0, 11, 6, 1, 3, 1, 5, 7, 2, 5, 9, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03247380256652832,0.37224411964416504,robust
j10,5,41.37931034482759,41.0,29.0,reactive,60,10,60,12,True,True,"[0, 9, 6, 1, 2, 1, 7, 3, 1, 3, 10, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03343319892883301,0.36640214920043945,robust
j10,5,36.666666666666664,41.0,30.0,reactive,60,10,60,12,True,True,"[0, 8, 9, 1, 2, 1, 7, 4, 1, 4, 11, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03187298774719238,0.37615394592285156,robust
j10,5,41.37931034482759,41.0,29.0,reactive,60,10,60,12,True,True,"[0, 6, 11, 2, 2, 2, 7, 3, 1, 2, 6, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03484535217285156,0.4058239459991455,robust
j10,5,38.70967741935484,43.0,31.0,reactive,60,10,60,12,True,True,"[0, 6, 8, 1, 1, 2, 9, 4, 1, 3, 8, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.032820940017700195,0.3678901195526123,robust
j10,5,36.666666666666664,41.0,30.0,reactive,60,10,60,12,True,True,"[0, 10, 7, 2, 2, 2, 6, 5, 1, 2, 7, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.035249948501586914,0.35859131813049316,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 4, 3, 4, 8, 6, 2, 1, 11, 6, 0]",,0.03241395950317383,8.106231689453125e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 3, 3, 3, 10, 6, 5, 1, 8, 7, 0]",,0.031890869140625,9.059906005859375e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 4, 2, 5, 10, 6, 2, 1, 11, 7, 0]",,0.0303192138671875,1.5735626220703125e-05,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 4, 2, 5, 12, 9, 2, 1, 6, 7, 0]",,0.03740406036376953,9.059906005859375e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 6, 5, 6, 9, 10, 2, 1, 11, 6, 0]",,0.03055572509765625,8.344650268554688e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 3, 2, 7, 9, 8, 4, 1, 8, 5, 0]",,0.03072810173034668,6.9141387939453125e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 4, 2, 5, 7, 12, 4, 1, 9, 3, 0]",,0.03541088104248047,8.106231689453125e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 1, 3, 4, 4, 9, 9, 5, 1, 7, 6, 0]",,0.030809879302978516,8.106231689453125e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 5, 4, 4, 9, 6, 6, 1, 11, 3, 0]",,0.031167984008789062,7.867813110351562e-06,robust
j10,6,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 2, 4, 4, 7, 10, 8, 2, 1, 9, 5, 0]",,0.03248095512390137,1.0013580322265625e-05,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 10, 1, 3, 6, 9, 4, 5, 1, 8, 1, 0]",,0.029619932174682617,8.106231689453125e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 1, 5, 9, 9, 5, 2, 1, 10, 3, 0]",,0.02999114990234375,7.867813110351562e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 1, 2, 12, 8, 3, 6, 1, 11, 3, 0]",,0.030245065689086914,6.9141387939453125e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 1, 3, 11, 7, 6, 4, 2, 8, 2, 0]",,0.03039383888244629,7.152557373046875e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 11, 1, 3, 9, 8, 2, 6, 2, 9, 3, 0]",,0.029178142547607422,5.9604644775390625e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 1, 4, 12, 8, 3, 5, 3, 11, 3, 0]",,0.03331613540649414,1.2159347534179688e-05,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 11, 1, 5, 8, 5, 6, 2, 2, 9, 1, 0]",,0.0315859317779541,9.059906005859375e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 1, 2, 7, 7, 6, 6, 3, 6, 2, 0]",,0.031778812408447266,9.059906005859375e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 1, 2, 11, 7, 6, 5, 1, 8, 2, 0]",,0.03381180763244629,9.059906005859375e-06,robust
j10,7,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 1, 5, 7, 9, 6, 6, 2, 6, 2, 0]",,0.03333401679992676,7.867813110351562e-06,robust
j10,8,24.390243902439025,51.0,41.0,reactive,60,10,60,12,True,True,"[0, 6, 12, 3, 8, 5, 1, 2, 2, 1, 3, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03267407417297363,0.3846161365509033,robust
j10,8,30.76923076923077,51.0,39.0,reactive,60,10,60,12,True,True,"[0, 8, 10, 3, 6, 5, 2, 1, 2, 1, 1, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03506302833557129,0.3831322193145752,robust
j10,8,41.666666666666664,51.0,36.0,reactive,60,10,60,12,True,True,"[0, 7, 7, 5, 7, 4, 2, 1, 1, 1, 2, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03661608695983887,0.389240026473999,robust
j10,8,24.390243902439025,51.0,41.0,reactive,60,10,60,12,True,True,"[0, 9, 12, 2, 7, 4, 3, 2, 2, 1, 3, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03589606285095215,0.3716888427734375,robust
j10,8,30.76923076923077,51.0,39.0,reactive,60,10,60,12,True,True,"[0, 10, 9, 4, 9, 6, 3, 1, 1, 1, 1, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.038690805435180664,0.37942004203796387,robust
j10,8,27.5,51.0,40.0,reactive,60,10,60,12,True,True,"[0, 7, 11, 2, 11, 3, 1, 1, 1, 1, 2, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03334808349609375,0.36240196228027344,robust
j10,8,45.714285714285715,51.0,35.0,reactive,60,10,60,12,True,True,"[0, 6, 6, 3, 6, 4, 3, 3, 1, 1, 3, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.033272743225097656,0.37700915336608887,robust
j10,8,37.83783783783784,51.0,37.0,reactive,60,10,60,12,True,True,"[0, 11, 6, 3, 11, 3, 3, 3, 2, 1, 2, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.03401589393615723,0.36905598640441895,robust
j10,8,41.666666666666664,51.0,36.0,reactive,60,10,60,12,True,True,"[0, 6, 6, 3, 7, 6, 2, 1, 2, 1, 2, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.032653093338012695,0.3760068416595459,robust
j10,8,27.5,51.0,40.0,reactive,60,10,60,12,True,True,"[0, 8, 11, 5, 6, 5, 3, 1, 1, 1, 3, 0]","[0, 13, 0, 4, 31, 27, 27, 48, 28, 25, 43, 51]",0.034870147705078125,0.3742790222167969,robust
j10,9,39.02439024390244,57.0,41.0,reactive,60,10,60,12,True,True,"[0, 3, 6, 2, 10, 8, 4, 9, 6, 3, 2, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.061319828033447266,0.44710779190063477,robust
j10,9,35.714285714285715,57.0,42.0,reactive,60,10,60,12,True,True,"[0, 4, 6, 1, 10, 6, 7, 5, 8, 6, 4, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.056143999099731445,0.40018606185913086,robust
j10,9,30.232558139534884,56.0,43.0,reactive,60,10,60,12,True,True,"[0, 3, 12, 2, 9, 6, 4, 7, 11, 3, 5, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 43, 31, 25, 53]",0.05408525466918945,0.4034700393676758,robust
j10,9,42.857142857142854,60.0,42.0,reactive,60,10,60,12,True,True,"[0, 6, 10, 1, 8, 9, 3, 5, 12, 6, 2, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05306100845336914,0.40839505195617676,robust
j10,9,35.714285714285715,57.0,42.0,reactive,60,10,60,12,True,True,"[0, 6, 9, 2, 7, 5, 6, 6, 8, 6, 4, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05349230766296387,0.3967139720916748,robust
j10,9,42.857142857142854,60.0,42.0,reactive,60,10,60,12,True,True,"[0, 5, 7, 1, 10, 5, 4, 6, 12, 6, 3, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05638718605041504,0.4061131477355957,robust
j10,9,29.545454545454547,57.0,44.0,reactive,60,10,60,12,True,True,"[0, 6, 10, 1, 11, 7, 5, 7, 9, 7, 3, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05726122856140137,0.40722084045410156,robust
j10,9,42.5,57.0,40.0,reactive,60,10,60,12,True,True,"[0, 5, 7, 2, 7, 9, 4, 8, 6, 7, 2, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05282998085021973,0.43004798889160156,robust
j10,9,29.545454545454547,57.0,44.0,reactive,60,10,60,12,True,True,"[0, 6, 12, 2, 8, 5, 5, 9, 10, 4, 2, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05427098274230957,0.407426118850708,robust
j10,9,46.15384615384615,57.0,39.0,reactive,60,10,60,12,True,True,"[0, 3, 10, 2, 9, 5, 5, 6, 7, 4, 4, 0]","[0, 3, 10, 0, 3, 15, 39, 27, 47, 31, 25, 57]",0.05863595008850098,0.4121270179748535,robust
j10,10,62.96296296296296,44.0,27.0,reactive,60,10,60,12,True,True,"[0, 4, 1, 1, 2, 8, 2, 3, 4, 1, 4, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 37, 19, 33, 44]",0.05316877365112305,0.4504530429840088,robust
j10,10,23.076923076923077,48.0,39.0,reactive,60,10,60,12,True,True,"[0, 5, 3, 1, 5, 11, 3, 2, 8, 3, 5, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 39, 19, 33, 46]",0.05157613754272461,0.4467461109161377,robust
j10,10,41.935483870967744,44.0,31.0,reactive,60,10,60,12,True,True,"[0, 5, 3, 1, 3, 6, 3, 3, 4, 3, 4, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 37, 19, 33, 44]",0.057254791259765625,0.4450681209564209,robust
j10,10,48.38709677419355,46.0,31.0,reactive,60,10,60,12,True,True,"[0, 4, 1, 1, 5, 7, 2, 3, 5, 3, 5, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 39, 19, 33, 46]",0.05141711235046387,0.44919586181640625,robust
j10,10,40.0,42.0,30.0,reactive,60,10,60,12,True,True,"[0, 4, 2, 1, 3, 8, 2, 3, 6, 3, 2, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 35, 19, 33, 42]",0.05381202697753906,0.44062209129333496,robust
j10,10,43.75,46.0,32.0,reactive,60,10,60,12,True,True,"[0, 5, 2, 1, 2, 11, 2, 3, 4, 3, 5, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 39, 19, 33, 46]",0.051164865493774414,0.44902801513671875,robust
j10,10,50.0,42.0,28.0,reactive,60,10,60,12,True,True,"[0, 3, 1, 1, 4, 7, 1, 4, 5, 3, 2, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 35, 19, 33, 42]",0.07166481018066406,0.5815639495849609,robust
j10,10,43.333333333333336,43.0,30.0,reactive,60,10,60,12,True,True,"[0, 6, 1, 1, 5, 11, 1, 4, 5, 1, 3, 0]","[0, 0, 9, 7, 13, 13, 29, 23, 36, 19, 33, 43]",0.05483818054199219,0.4480249881744385,robust
