,instance_name,iteration,makespan_stnu,makespan_lb,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb
3512,j3036_2,2,64,38,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.08568096160888672,0.056122779846191406
3513,j3036_2,3,70,43,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.0838930606842041,0.055487871170043945
3514,j3036_2,4,67,43,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.08432316780090332,0.056079864501953125
3515,j3036_2,5,68,45,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.08286309242248535,0.0571589469909668
3516,j3036_2,6,62,40,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.0843958854675293,0.05494976043701172
3517,j3036_2,7,58,38,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.08518099784851074,0.06253981590270996
3518,j3036_2,8,57,39,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.0843358039855957,0.05551886558532715
3519,j3036_2,9,68,41,0.05604386329650879,0.01875591278076172,0.28551292419433594,0.08456611633300781,0.05628800392150879
3520,j3036_3,0,90,57,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.0845789909362793,0.0551149845123291
3521,j3036_3,1,92,57,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08239412307739258,0.05587935447692871
3522,j3036_3,2,93,58,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08394598960876465,0.05643486976623535
3523,j3036_3,3,93,58,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08304190635681152,0.05505084991455078
3524,j3036_3,4,89,55,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08265995979309082,0.05588412284851074
3525,j3036_3,5,86,56,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08347177505493164,0.05588984489440918
3526,j3036_3,6,99,64,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08283019065856934,0.05548405647277832
3527,j3036_3,7,89,58,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08284306526184082,0.05588674545288086
3528,j3036_3,8,84,58,0.05585193634033203,0.02173304557800293,0.2964301109313965,0.08371567726135254,0.055785179138183594
