,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
109,20_1_factory_1,9.0,894.0,0.0,894.0,0.0,0.0,1,feasible_and_dc
110,20_1_factory_1,0.0,931.0,0.0,1034.0,103.0,0.11063372717508056,2,feasible_and_dc
111,20_1_factory_1,1.0,929.0,0.0,1040.0,111.0,0.11948331539289558,2,feasible_and_dc
112,20_1_factory_1,2.0,922.0,0.0,1024.0,102.0,0.11062906724511931,2,feasible_and_dc
113,20_1_factory_1,3.0,916.0,0.0,1031.0,115.0,0.12554585152838427,2,feasible_and_dc
114,20_1_factory_1,4.0,928.0,0.0,1030.0,102.0,0.10991379310344827,2,feasible_and_dc
115,20_1_factory_1,5.0,928.0,0.0,1037.0,109.0,0.11745689655172414,2,feasible_and_dc
116,20_1_factory_1,6.0,924.0,0.0,1033.0,109.0,0.11796536796536797,2,feasible_and_dc
117,20_1_factory_1,7.0,926.0,0.0,1031.0,105.0,0.11339092872570194,2,feasible_and_dc
118,20_1_factory_1,8.0,935.0,0.0,1036.0,101.0,0.10802139037433155,2,feasible_and_dc
119,20_1_factory_1,9.0,915.0,0.0,1030.0,115.0,0.12568306010928962,2,feasible_and_dc
120,20_2_factory_1,0.0,1201.0,0.0,1201.0,0.0,0.0,1,feasible_and_dc
121,20_2_factory_1,1.0,1188.0,0.0,1188.0,0.0,0.0,1,feasible_and_dc
122,20_2_factory_1,2.0,1182.0,0.0,1200.0,18.0,0.015228426395939087,1,feasible_and_dc
123,20_2_factory_1,3.0,1190.0,0.0,1190.0,0.0,0.0,1,feasible_and_dc
124,20_2_factory_1,4.0,1190.0,0.0,1202.0,12.0,0.010084033613445379,1,feasible_and_dc
125,20_2_factory_1,5.0,1218.0,0.0,1218.0,0.0,0.0,1,feasible_and_dc
126,20_2_factory_1,6.0,1170.0,0.0,1170.0,0.0,0.0,1,feasible_and_dc
127,20_2_factory_1,7.0,1194.0,0.0,1203.0,9.0,0.007537688442211055,1,feasible_and_dc
128,20_2_factory_1,8.0,1189.0,0.0,1189.0,0.0,0.0,1,feasible_and_dc
129,20_2_factory_1,9.0,1208.0,0.0,1208.0,0.0,0.0,1,feasible_and_dc
130,20_2_factory_1,,,,,,,2,infeasible
131,20_3_factory_1,0.0,905.0,0.0,925.0,20.0,0.022099447513812154,1,feasible_and_dc
132,20_3_factory_1,1.0,948.0,0.0,948.0,0.0,0.0,1,feasible_and_dc
133,20_3_factory_1,2.0,972.0,0.0,972.0,0.0,0.0,1,feasible_and_dc
134,20_3_factory_1,3.0,977.0,0.0,986.0,9.0,0.009211873080859774,1,feasible_and_dc
135,20_3_factory_1,4.0,974.0,0.0,974.0,0.0,0.0,1,feasible_and_dc
136,20_3_factory_1,5.0,946.0,0.0,946.0,0.0,0.0,1,feasible_and_dc
