instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_40,STNU,4,inf,inf,0.0
j10_41,STNU,0,inf,42.0,100.0
j10_41,STNU,1,inf,44.0,100.0
j10_41,STNU,2,inf,39.0,100.0
j10_41,STNU,3,inf,39.0,100.0
j10_41,STNU,4,inf,39.0,100.0
j10_42,STNU,0,inf,34.0,100.0
j10_42,STNU,1,inf,36.0,100.0
j10_42,STNU,2,inf,32.0,100.0
j10_42,STNU,3,inf,38.0,100.0
j10_42,STNU,4,inf,35.0,100.0
j10_43,STNU,0,inf,26.0,100.0
j10_43,STNU,1,inf,24.0,100.0
j10_43,STNU,2,inf,28.0,100.0
j10_43,STNU,3,inf,25.0,100.0
j10_43,STNU,4,inf,30.0,100.0
j10_44,STNU,0,inf,29.0,100.0
j10_44,STNU,1,inf,27.0,100.0
j10_44,STNU,2,inf,31.0,100.0
j10_44,STNU,3,inf,32.0,100.0
j10_44,STNU,4,inf,33.0,100.0
j10_45,STNU,0,inf,34.0,100.0
j10_45,STNU,1,inf,34.0,100.0
j10_45,STNU,2,inf,34.0,100.0
j10_45,STNU,3,inf,34.0,100.0
j10_45,STNU,4,inf,35.0,100.0
j10_46,STNU,0,31.0,30.0,3.3333333333333335
j10_46,STNU,1,31.0,28.0,10.714285714285714
j10_46,STNU,2,30.0,29.0,3.4482758620689653
j10_46,STNU,3,30.0,30.0,0.0
j10_46,STNU,4,30.0,29.0,3.4482758620689653
j10_47,STNU,0,inf,34.0,100.0
j10_47,STNU,1,inf,32.0,100.0
j10_47,STNU,2,inf,33.0,100.0
j10_47,STNU,3,inf,34.0,100.0
j10_47,STNU,4,inf,32.0,100.0
j10_48,STNU,0,inf,inf,0.0
j10_48,STNU,1,inf,inf,0.0
j10_48,STNU,2,inf,inf,0.0
j10_48,STNU,3,inf,inf,0.0
j10_48,STNU,4,inf,inf,0.0
j10_49,STNU,0,26.0,24.0,8.333333333333334
j10_49,STNU,1,28.0,28.0,0.0
j10_49,STNU,2,24.0,24.0,0.0
j10_49,STNU,3,24.0,24.0,0.0
j10_49,STNU,4,25.0,25.0,0.0
j10_50,STNU,0,inf,54.0,100.0
j10_50,STNU,1,inf,58.0,100.0
j10_50,STNU,2,inf,57.0,100.0
j10_50,STNU,3,inf,55.0,100.0
j10_50,STNU,4,inf,52.0,100.0
j10_51,STNU,0,inf,inf,0.0
j10_51,STNU,1,inf,inf,0.0
j10_51,STNU,2,inf,inf,0.0
j10_51,STNU,3,inf,inf,0.0
j10_51,STNU,4,inf,inf,0.0
j10_52,STNU,0,inf,30.0,100.0
j10_52,STNU,1,inf,29.0,100.0
j10_52,STNU,2,inf,25.0,100.0
j10_52,STNU,3,inf,30.0,100.0
j10_52,STNU,4,inf,25.0,100.0
j10_53,STNU,0,inf,38.0,100.0
j10_53,STNU,1,inf,36.0,100.0
j10_53,STNU,2,inf,34.0,100.0
j10_53,STNU,3,inf,36.0,100.0
j10_53,STNU,4,inf,32.0,100.0
j10_54,STNU,0,inf,30.0,100.0
j10_54,STNU,1,inf,33.0,100.0
j10_54,STNU,2,inf,33.0,100.0
j10_54,STNU,3,inf,34.0,100.0
j10_54,STNU,4,inf,33.0,100.0
j10_55,STNU,0,inf,15.0,100.0
j10_55,STNU,1,inf,inf,0.0
j10_55,STNU,2,inf,inf,0.0
j10_55,STNU,3,inf,inf,0.0
j10_55,STNU,4,inf,inf,0.0
j10_56,STNU,0,inf,34.0,100.0
j10_56,STNU,1,inf,33.0,100.0
j10_56,STNU,2,inf,33.0,100.0
j10_56,STNU,3,inf,33.0,100.0
j10_56,STNU,4,inf,34.0,100.0
j10_57,STNU,0,inf,39.0,100.0
j10_57,STNU,1,inf,40.0,100.0
j10_57,STNU,2,inf,40.0,100.0
j10_57,STNU,3,inf,41.0,100.0
j10_57,STNU,4,inf,40.0,100.0
j10_58,STNU,0,21.0,19.0,10.526315789473685
j10_58,STNU,1,19.0,19.0,0.0
j10_58,STNU,2,19.0,19.0,0.0
j10_58,STNU,3,19.0,19.0,0.0
j10_58,STNU,4,19.0,19.0,0.0
j10_59,STNU,0,inf,40.0,100.0
j10_59,STNU,1,inf,33.0,100.0
j10_59,STNU,2,inf,34.0,100.0
j10_59,STNU,3,inf,37.0,100.0
j10_59,STNU,4,inf,32.0,100.0
j10_60,STNU,0,inf,37.0,100.0
j10_60,STNU,1,inf,37.0,100.0
j10_60,STNU,2,inf,37.0,100.0
j10_60,STNU,3,inf,37.0,100.0
j10_60,STNU,4,inf,37.0,100.0
j10_61,STNU,0,inf,43.0,100.0
j10_61,STNU,1,inf,49.0,100.0
j10_61,STNU,2,inf,50.0,100.0
j10_61,STNU,3,inf,51.0,100.0
j10_61,STNU,4,inf,52.0,100.0
j10_62,STNU,0,inf,48.0,100.0
j10_62,STNU,1,inf,inf,0.0
j10_62,STNU,2,inf,inf,0.0
j10_62,STNU,3,inf,43.0,100.0
j10_62,STNU,4,inf,47.0,100.0
j10_63,STNU,0,inf,58.0,100.0
j10_63,STNU,1,inf,59.0,100.0
j10_63,STNU,2,inf,inf,0.0
j10_63,STNU,3,inf,56.0,100.0
j10_63,STNU,4,inf,42.0,100.0
j10_64,STNU,0,inf,37.0,100.0
j10_64,STNU,1,inf,44.0,100.0
j10_64,STNU,2,inf,43.0,100.0
j10_64,STNU,3,inf,45.0,100.0
j10_64,STNU,4,inf,40.0,100.0
j10_65,STNU,0,inf,37.0,100.0
j10_65,STNU,1,inf,44.0,100.0
j10_65,STNU,2,inf,37.0,100.0
j10_65,STNU,3,inf,37.0,100.0
j10_65,STNU,4,inf,38.0,100.0
j10_66,STNU,0,inf,inf,0.0
j10_66,STNU,1,inf,inf,0.0
j10_66,STNU,2,inf,47.0,100.0
j10_66,STNU,3,inf,43.0,100.0
j10_66,STNU,4,inf,inf,0.0
j10_67,STNU,0,inf,inf,0.0
j10_67,STNU,1,inf,62.0,100.0
j10_67,STNU,2,inf,inf,0.0
j10_67,STNU,3,inf,inf,0.0
j10_67,STNU,4,inf,inf,0.0
j10_68,STNU,0,inf,46.0,100.0
j10_68,STNU,1,inf,inf,0.0
j10_68,STNU,2,inf,57.0,100.0
j10_68,STNU,3,inf,51.0,100.0
j10_68,STNU,4,inf,55.0,100.0
j10_69,STNU,0,inf,48.0,100.0
j10_69,STNU,1,inf,42.0,100.0
j10_69,STNU,2,inf,48.0,100.0
j10_69,STNU,3,inf,46.0,100.0
j10_69,STNU,4,inf,46.0,100.0
j10_70,STNU,0,inf,46.0,100.0
j10_70,STNU,1,inf,43.0,100.0
j10_70,STNU,2,inf,48.0,100.0
j10_70,STNU,3,inf,49.0,100.0
j10_70,STNU,4,inf,55.0,100.0
j10_71,STNU,0,inf,38.0,100.0
j10_71,STNU,1,inf,inf,0.0
j10_71,STNU,2,inf,inf,0.0
j10_71,STNU,3,inf,38.0,100.0
j10_71,STNU,4,inf,inf,0.0
j10_72,STNU,0,inf,inf,0.0
j10_72,STNU,1,inf,36.0,100.0
j10_72,STNU,2,inf,38.0,100.0
j10_72,STNU,3,inf,37.0,100.0
j10_72,STNU,4,inf,inf,0.0
j10_73,STNU,0,inf,26.0,100.0
j10_73,STNU,1,inf,26.0,100.0
j10_73,STNU,2,inf,26.0,100.0
j10_73,STNU,3,inf,27.0,100.0
j10_73,STNU,4,inf,31.0,100.0
j10_74,STNU,0,inf,33.0,100.0
j10_74,STNU,1,inf,32.0,100.0
j10_74,STNU,2,inf,31.0,100.0
j10_74,STNU,3,inf,32.0,100.0
j10_74,STNU,4,inf,inf,0.0
j10_75,STNU,0,28.0,27.0,3.7037037037037037
j10_75,STNU,1,27.0,26.0,3.8461538461538463
j10_75,STNU,2,26.0,25.0,4.0
j10_75,STNU,3,26.0,24.0,8.333333333333334
j10_75,STNU,4,26.0,25.0,4.0
j10_76,STNU,0,inf,inf,0.0
j10_76,STNU,1,inf,47.0,100.0
j10_76,STNU,2,inf,inf,0.0
j10_76,STNU,3,inf,inf,0.0
j10_76,STNU,4,inf,inf,0.0
j10_77,STNU,0,52.0,52.0,0.0
j10_77,STNU,1,51.0,46.0,10.869565217391305
j10_77,STNU,2,49.0,48.0,2.0833333333333335
j10_77,STNU,3,47.0,42.0,11.904761904761905
j10_77,STNU,4,54.0,51.0,5.882352941176471
