,instance,status,sample,rcpsp/max_feasible,makespan_rte_star
278,j10/PSP223,feasible_and_dc_but_rte_error,0,NotApplicable,
279,j10/PSP223,feasible_and_dc_but_rte_error,1,NotApplicable,
280,j10/PSP224,feasible_and_dc,0,True,104.0
281,j10/PSP224,feasible_and_dc,1,True,104.0
282,j10/PSP225,infeasible,0,NotApplicable,
283,j10/PSP226,feasible_but_not_dc,0,NotApplicable,
284,j10/PSP227,feasible_but_not_dc,0,NotApplicable,
285,j10/PSP228,feasible_and_dc,0,True,65.0
286,j10/PSP228,feasible_and_dc,1,True,65.0
287,j10/PSP229,feasible_and_dc,0,True,88.0
288,j10/PSP229,feasible_and_dc,1,True,88.0
289,j10/PSP230,feasible_and_dc,0,True,73.0
290,j10/PSP230,feasible_and_dc,1,True,73.0
291,j10/PSP231,feasible_but_not_dc,0,NotApplicable,
292,j10/PSP232,feasible_but_not_dc,0,NotApplicable,
293,j10/PSP233,feasible_but_not_dc,0,NotApplicable,
294,j10/PSP234,infeasible,0,NotApplicable,
295,j10/PSP235,feasible_but_not_dc,0,NotApplicable,
296,j10/PSP236,feasible_and_dc,0,True,44.0
297,j10/PSP236,feasible_and_dc,1,True,44.0
298,j10/PSP237,infeasible,0,NotApplicable,
299,j10/PSP238,feasible_but_not_dc,0,NotApplicable,
300,j10/PSP239,infeasible,0,NotApplicable,
301,j10/PSP240,feasible_and_dc,0,True,54.0
302,j10/PSP240,feasible_and_dc,1,True,54.0
303,j10/PSP241,feasible_but_not_dc,0,NotApplicable,
304,j10/PSP242,feasible_but_not_dc,0,NotApplicable,
305,j10/PSP243,infeasible,0,NotApplicable,
306,j10/PSP244,infeasible,0,NotApplicable,
307,j10/PSP245,infeasible,0,NotApplicable,
308,j10/PSP246,infeasible,0,NotApplicable,
309,j10/PSP247,infeasible,0,NotApplicable,
310,j10/PSP248,feasible_but_not_dc,0,NotApplicable,
311,j10/PSP249,feasible_but_not_dc,0,NotApplicable,
312,j10/PSP250,infeasible,0,NotApplicable,
313,j10/PSP251,feasible_but_not_dc,0,NotApplicable,
314,j10/PSP252,infeasible,0,NotApplicable,
315,j10/PSP253,infeasible,0,NotApplicable,
316,j10/PSP254,infeasible,0,NotApplicable,
317,j10/PSP255,feasible_but_not_dc,0,NotApplicable,
318,j10/PSP256,feasible_but_not_dc,0,NotApplicable,
319,j10/PSP257,feasible_but_not_dc,0,NotApplicable,
320,j10/PSP258,infeasible,0,NotApplicable,
321,j10/PSP259,feasible_but_not_dc,0,NotApplicable,
