instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_5,STNU,31,inf,29,100
j10_5,STNU,32,inf,30,100
j10_5,STNU,33,inf,28,100
j10_5,STNU,34,inf,29,100
j10_5,STNU,35,inf,30,100
j10_5,STNU,36,inf,30,100
j10_5,STNU,37,inf,32,100
j10_5,STNU,38,inf,33,100
j10_5,STNU,39,inf,31,100
j10_5,STNU,40,inf,25,100
j10_5,STNU,41,inf,31,100
j10_5,STNU,42,inf,33,100
j10_5,STNU,43,inf,30,100
j10_5,STNU,44,inf,29,100
j10_5,STNU,45,inf,30,100
j10_5,STNU,46,inf,31,100
j10_5,STNU,47,inf,30,100
j10_5,STNU,48,inf,31,100
j10_5,STNU,49,inf,30,100
j10_6,STNU,0,inf,35,100
j10_6,STNU,1,inf,inf,0
j10_6,STNU,2,inf,inf,0
j10_6,STNU,3,inf,inf,0
j10_6,STNU,4,inf,inf,0
j10_6,STNU,5,inf,inf,0
j10_6,STNU,6,inf,inf,0
j10_6,STNU,7,inf,inf,0
j10_6,STNU,8,inf,inf,0
j10_6,STNU,9,inf,inf,0
j10_6,STNU,10,inf,inf,0
j10_6,STNU,11,inf,32,100
j10_6,STNU,12,inf,32,100
j10_6,STNU,13,inf,inf,0
j10_6,STNU,14,inf,inf,0
j10_6,STNU,15,inf,inf,0
j10_6,STNU,16,inf,32,100
j10_6,STNU,17,inf,inf,0
j10_6,STNU,18,inf,inf,0
j10_6,STNU,19,inf,inf,0
j10_6,STNU,20,inf,inf,0
j10_6,STNU,21,inf,inf,0
j10_6,STNU,22,inf,33,100
j10_6,STNU,23,inf,inf,0
j10_6,STNU,24,inf,inf,0
j10_6,STNU,25,inf,inf,0
j10_6,STNU,26,inf,inf,0
j10_6,STNU,27,inf,inf,0
j10_6,STNU,28,inf,inf,0
j10_6,STNU,29,inf,inf,0
j10_6,STNU,30,inf,inf,0
j10_6,STNU,31,inf,inf,0
j10_6,STNU,32,inf,inf,0
j10_6,STNU,33,inf,inf,0
j10_6,STNU,34,inf,inf,0
j10_6,STNU,35,inf,inf,0
j10_6,STNU,36,inf,inf,0
j10_6,STNU,37,inf,34,100
j10_6,STNU,38,inf,inf,0
j10_6,STNU,39,inf,inf,0
j10_6,STNU,40,inf,inf,0
j10_6,STNU,41,inf,inf,0
j10_6,STNU,42,inf,inf,0
j10_6,STNU,43,inf,inf,0
j10_6,STNU,44,inf,inf,0
j10_6,STNU,45,inf,34,100
j10_6,STNU,46,inf,inf,0
j10_6,STNU,47,inf,inf,0
j10_6,STNU,48,inf,inf,0
j10_6,STNU,49,inf,inf,0
j10_7,STNU,0,inf,40,100
j10_7,STNU,1,inf,46,100
j10_7,STNU,2,inf,43,100
j10_7,STNU,3,inf,41,100
j10_7,STNU,4,inf,46,100
j10_7,STNU,5,inf,40,100
j10_7,STNU,6,inf,41,100
j10_7,STNU,7,inf,43,100
j10_7,STNU,8,inf,45,100
j10_7,STNU,9,inf,41,100
j10_7,STNU,10,inf,40,100
j10_7,STNU,11,inf,41,100
j10_7,STNU,12,inf,44,100
j10_7,STNU,13,inf,40,100
j10_7,STNU,14,inf,40,100
j10_7,STNU,15,inf,41,100
j10_7,STNU,16,inf,41,100
j10_7,STNU,17,inf,40,100
j10_7,STNU,18,inf,40,100
j10_7,STNU,19,inf,45,100
j10_7,STNU,20,inf,44,100
j10_7,STNU,21,inf,45,100
j10_7,STNU,22,inf,45,100
j10_7,STNU,23,inf,43,100
j10_7,STNU,24,inf,45,100
j10_7,STNU,25,inf,41,100
j10_7,STNU,26,inf,42,100
j10_7,STNU,27,inf,40,100
j10_7,STNU,28,inf,45,100
j10_7,STNU,29,inf,45,100
j10_7,STNU,30,inf,43,100
j10_7,STNU,31,inf,42,100
j10_7,STNU,32,inf,41,100
j10_7,STNU,33,inf,44,100
j10_7,STNU,34,inf,44,100
j10_7,STNU,35,inf,42,100
j10_7,STNU,36,inf,42,100
j10_7,STNU,37,inf,42,100
j10_7,STNU,38,inf,40,100
j10_7,STNU,39,inf,40,100
j10_7,STNU,40,inf,44,100
j10_7,STNU,41,inf,43,100
j10_7,STNU,42,inf,42,100
j10_7,STNU,43,inf,41,100
j10_7,STNU,44,inf,45,100
j10_7,STNU,45,inf,40,100
j10_7,STNU,46,inf,42,100
j10_7,STNU,47,inf,41,100
j10_7,STNU,48,inf,40,100
j10_7,STNU,49,inf,43,100
j10_8,STNU,0,inf,42,100
j10_8,STNU,1,inf,40,100
j10_8,STNU,2,inf,35,100
j10_8,STNU,3,inf,38,100
j10_8,STNU,4,inf,40,100
j10_8,STNU,5,inf,38,100
j10_8,STNU,6,inf,41,100
j10_8,STNU,7,inf,40,100
j10_8,STNU,8,inf,38,100
j10_8,STNU,9,inf,38,100
j10_8,STNU,10,inf,35,100
j10_8,STNU,11,inf,40,100
j10_8,STNU,12,inf,35,100
j10_8,STNU,13,inf,40,100
j10_8,STNU,14,inf,42,100
j10_8,STNU,15,inf,40,100
j10_8,STNU,16,inf,39,100
