,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
131,j30,PSP3,31,0.0,inf,inf,reactive,60,10,60
132,j30,PSP3,32,0.0,inf,inf,reactive,60,10,60
133,j30,PSP3,33,0.0,inf,inf,reactive,60,10,60
134,j30,PSP3,34,0.0,inf,inf,reactive,60,10,60
135,j30,PSP3,35,0.0,inf,inf,reactive,60,10,60
136,j30,PSP3,36,0.0,inf,inf,reactive,60,10,60
137,j30,PSP3,37,0.0,inf,inf,reactive,60,10,60
138,j30,PSP3,38,0.0,inf,inf,reactive,60,10,60
139,j30,PSP3,39,0.0,inf,inf,reactive,60,10,60
140,j30,PSP3,40,0.0,inf,inf,reactive,60,10,60
141,j30,PSP3,41,0.0,inf,inf,reactive,60,10,60
142,j30,PSP3,42,0.0,inf,inf,reactive,60,10,60
143,j30,PSP3,43,0.0,inf,inf,reactive,60,10,60
144,j30,PSP3,44,0.0,inf,inf,reactive,60,10,60
145,j30,PSP3,45,0.0,inf,inf,reactive,60,10,60
146,j30,PSP3,46,0.0,inf,inf,reactive,60,10,60
147,j30,PSP3,47,0.0,inf,inf,reactive,60,10,60
148,j30,PSP3,48,0.0,inf,inf,reactive,60,10,60
149,j30,PSP3,49,0.0,inf,inf,reactive,60,10,60
150,j30,PSP4,0,100.0,inf,101.0,reactive,60,10,60
151,j30,PSP4,1,100.0,inf,101.0,reactive,60,10,60
152,j30,PSP4,2,6.976744186046512,92.0,86.0,reactive,60,10,60
153,j30,PSP4,3,100.0,inf,103.0,reactive,60,10,60
154,j30,PSP4,4,100.0,inf,92.0,reactive,60,10,60
155,j30,PSP4,5,100.0,inf,100.0,reactive,60,10,60
156,j30,PSP4,6,100.0,inf,100.0,reactive,60,10,60
157,j30,PSP4,7,100.0,inf,101.0,reactive,60,10,60
158,j30,PSP4,8,100.0,inf,102.0,reactive,60,10,60
159,j30,PSP4,9,7.291666666666667,103.0,96.0,reactive,60,10,60
160,j30,PSP4,10,100.0,inf,98.0,reactive,60,10,60
161,j30,PSP4,11,100.0,inf,100.0,reactive,60,10,60
162,j30,PSP4,12,100.0,inf,100.0,reactive,60,10,60
163,j30,PSP4,13,100.0,inf,95.0,reactive,60,10,60
164,j30,PSP4,14,6.315789473684211,101.0,95.0,reactive,60,10,60
165,j30,PSP4,15,100.0,inf,96.0,reactive,60,10,60
166,j30,PSP4,16,12.345679012345679,91.0,81.0,reactive,60,10,60
167,j30,PSP4,17,8.13953488372093,93.0,86.0,reactive,60,10,60
168,j30,PSP4,18,100.0,inf,96.0,reactive,60,10,60
169,j30,PSP4,19,100.0,inf,99.0,reactive,60,10,60
170,j30,PSP4,20,100.0,inf,100.0,reactive,60,10,60
171,j30,PSP4,21,100.0,inf,99.0,reactive,60,10,60
172,j30,PSP4,22,100.0,inf,105.0,reactive,60,10,60
173,j30,PSP4,23,100.0,inf,95.0,reactive,60,10,60
174,j30,PSP4,24,100.0,inf,99.0,reactive,60,10,60
175,j30,PSP4,25,100.0,inf,97.0,reactive,60,10,60
176,j30,PSP4,26,100.0,inf,103.0,reactive,60,10,60
177,j30,PSP4,27,100.0,inf,103.0,reactive,60,10,60
178,j30,PSP4,28,100.0,inf,100.0,reactive,60,10,60
179,j30,PSP4,29,100.0,inf,100.0,reactive,60,10,60
180,j30,PSP4,30,100.0,inf,99.0,reactive,60,10,60
181,j30,PSP4,31,100.0,inf,102.0,reactive,60,10,60
182,j30,PSP4,32,100.0,inf,99.0,reactive,60,10,60
183,j30,PSP4,33,100.0,inf,102.0,reactive,60,10,60
184,j30,PSP4,34,100.0,inf,102.0,reactive,60,10,60
185,j30,PSP4,35,100.0,inf,100.0,reactive,60,10,60
186,j30,PSP4,36,100.0,inf,101.0,reactive,60,10,60
187,j30,PSP4,37,100.0,inf,101.0,reactive,60,10,60
188,j30,PSP4,38,100.0,inf,93.0,reactive,60,10,60
189,j30,PSP4,39,100.0,inf,97.0,reactive,60,10,60
190,j30,PSP4,40,100.0,inf,99.0,reactive,60,10,60
191,j30,PSP4,41,100.0,inf,102.0,reactive,60,10,60
192,j30,PSP4,42,100.0,inf,101.0,reactive,60,10,60
193,j30,PSP4,43,11.11111111111111,90.0,81.0,reactive,60,10,60
194,j30,PSP4,44,100.0,inf,95.0,reactive,60,10,60
195,j30,PSP4,45,100.0,inf,97.0,reactive,60,10,60
196,j30,PSP4,46,6.666666666666667,96.0,90.0,reactive,60,10,60
197,j30,PSP4,47,100.0,inf,99.0,reactive,60,10,60
198,j30,PSP4,48,2.1052631578947367,97.0,95.0,reactive,60,10,60
199,j30,PSP4,49,100.0,inf,101.0,reactive,60,10,60
200,j30,PSP5,0,0.0,inf,inf,reactive,60,10,60
201,j30,PSP5,1,0.0,inf,inf,reactive,60,10,60
202,j30,PSP5,2,0.0,inf,inf,reactive,60,10,60
203,j30,PSP5,3,0.0,inf,inf,reactive,60,10,60
204,j30,PSP5,4,0.0,inf,inf,reactive,60,10,60
205,j30,PSP5,5,0.0,inf,inf,reactive,60,10,60
206,j30,PSP5,6,0.0,inf,inf,reactive,60,10,60
207,j30,PSP5,7,0.0,inf,inf,reactive,60,10,60
