,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
266,j10,PSP6,16,0.0,inf,inf,reactive
267,j10,PSP6,17,0.0,inf,inf,reactive
268,j10,PSP6,18,0.0,inf,inf,reactive
269,j10,PSP6,19,0.0,inf,inf,reactive
270,j10,PSP6,20,0.0,inf,inf,reactive
271,j10,PSP6,21,0.0,inf,inf,reactive
272,j10,PSP6,22,0.0,inf,inf,reactive
273,j10,PSP6,23,0.0,inf,inf,reactive
274,j10,PSP6,24,0.0,inf,inf,reactive
275,j10,PSP6,25,0.0,inf,inf,reactive
276,j10,PSP6,26,0.0,inf,inf,reactive
277,j10,PSP6,27,0.0,inf,inf,reactive
278,j10,PSP6,28,0.0,inf,inf,reactive
279,j10,PSP6,29,0.0,inf,inf,reactive
280,j10,PSP6,30,0.0,inf,inf,reactive
281,j10,PSP6,31,0.0,inf,inf,reactive
282,j10,PSP6,32,0.0,inf,inf,reactive
283,j10,PSP6,33,0.0,inf,inf,reactive
284,j10,PSP6,34,0.0,inf,inf,reactive
285,j10,PSP6,35,0.0,inf,inf,reactive
286,j10,PSP6,36,0.0,inf,inf,reactive
287,j10,PSP6,37,0.0,inf,inf,reactive
288,j10,PSP6,38,0.0,inf,inf,reactive
289,j10,PSP6,39,0.0,inf,inf,reactive
290,j10,PSP6,40,0.0,inf,inf,reactive
291,j10,PSP6,41,0.0,inf,inf,reactive
292,j10,PSP6,42,0.0,inf,inf,reactive
293,j10,PSP6,43,0.0,inf,inf,reactive
294,j10,PSP6,44,0.0,inf,inf,reactive
295,j10,PSP6,45,0.0,inf,inf,reactive
296,j10,PSP6,46,0.0,inf,inf,reactive
297,j10,PSP6,47,0.0,inf,inf,reactive
298,j10,PSP6,48,0.0,inf,inf,reactive
299,j10,PSP6,49,0.0,inf,inf,reactive
300,j10,PSP7,0,0.0,42.0,42.0,reactive
301,j10,PSP7,1,0.0,44.0,44.0,reactive
302,j10,PSP7,2,100.0,inf,43.0,reactive
303,j10,PSP7,3,100.0,inf,43.0,reactive
304,j10,PSP7,4,0.0,41.0,41.0,reactive
305,j10,PSP7,5,100.0,inf,43.0,reactive
