,instance,it,makespan_lb,makespan_stnu,regret,rel_regret,instance_type,status
159,20_4_factory_1,8.0,805.0,1920.0,1115.0,1.3850931677018634,1,feasible_and_dc
160,20_4_factory_1,9.0,864.0,1938.0,1074.0,1.2430555555555556,1,feasible_and_dc
161,20_4_factory_1,,,,,,2,infeasible
162,20_5_factory_1,0.0,1030.0,2383.0,1353.0,1.3135922330097087,1,feasible_and_dc
163,20_5_factory_1,1.0,1023.0,2405.0,1382.0,1.3509286412512218,1,feasible_and_dc
164,20_5_factory_1,2.0,1008.0,2339.0,1331.0,1.320436507936508,1,feasible_and_dc
165,20_5_factory_1,3.0,1003.0,2544.0,1541.0,1.5363908275174476,1,feasible_and_dc
166,20_5_factory_1,4.0,1050.0,2391.0,1341.0,1.2771428571428571,1,feasible_and_dc
167,20_5_factory_1,5.0,1007.0,2538.0,1531.0,1.5203574975173784,1,feasible_and_dc
168,20_5_factory_1,6.0,1004.0,2400.0,1396.0,1.3904382470119523,1,feasible_and_dc
169,20_5_factory_1,7.0,1035.0,2552.0,1517.0,1.4657004830917875,1,feasible_and_dc
170,20_5_factory_1,8.0,1048.0,2543.0,1495.0,1.4265267175572518,1,feasible_and_dc
171,20_5_factory_1,9.0,1023.0,2390.0,1367.0,1.3362658846529814,1,feasible_and_dc
172,20_5_factory_1,0.0,1031.0,1273.0,242.0,0.2347235693501455,2,feasible_and_dc
173,20_5_factory_1,1.0,1030.0,1260.0,230.0,0.22330097087378642,2,feasible_and_dc
174,20_5_factory_1,2.0,1041.0,1264.0,223.0,0.21421709894332372,2,feasible_and_dc
175,20_5_factory_1,3.0,1036.0,1277.0,241.0,0.23262548262548263,2,feasible_and_dc
176,20_5_factory_1,4.0,992.0,1259.0,267.0,0.2691532258064516,2,feasible_and_dc
177,20_5_factory_1,5.0,1025.0,1251.0,226.0,0.22048780487804878,2,feasible_and_dc
178,20_5_factory_1,6.0,1041.0,1266.0,225.0,0.21613832853025935,2,feasible_and_dc
179,20_5_factory_1,7.0,1043.0,1273.0,230.0,0.22051773729626079,2,feasible_and_dc
180,20_5_factory_1,8.0,998.0,1259.0,261.0,0.26152304609218435,2,feasible_and_dc
181,20_5_factory_1,9.0,1006.0,1268.0,262.0,0.26043737574552683,2,feasible_and_dc
182,40_1_factory_1,0.0,2240.0,4162.0,1922.0,0.8580357142857142,1,feasible_and_dc
183,40_1_factory_1,1.0,2308.0,4144.0,1836.0,0.7954939341421143,1,feasible_and_dc
184,40_1_factory_1,2.0,2264.0,4213.0,1949.0,0.8608657243816255,1,feasible_and_dc
185,40_1_factory_1,3.0,2263.0,4168.0,1905.0,0.8418029164825453,1,feasible_and_dc
186,40_1_factory_1,4.0,2278.0,4265.0,1987.0,0.8722563652326603,1,feasible_and_dc
187,40_1_factory_1,5.0,2300.0,3960.0,1660.0,0.7217391304347827,1,feasible_and_dc
188,40_1_factory_1,6.0,2295.0,3960.0,1665.0,0.7254901960784313,1,feasible_and_dc
189,40_1_factory_1,7.0,2320.0,3995.0,1675.0,0.7219827586206896,1,feasible_and_dc
190,40_1_factory_1,8.0,2264.0,3971.0,1707.0,0.7539752650176679,1,feasible_and_dc
191,40_1_factory_1,9.0,2316.0,4209.0,1893.0,0.8173575129533679,1,feasible_and_dc
192,40_1_factory_1,,,,,,2,infeasible
193,40_2_factory_1,0.0,1769.0,3477.0,1708.0,0.9655172413793104,1,feasible_and_dc
194,40_2_factory_1,1.0,1837.0,3525.0,1688.0,0.9188894937397931,1,feasible_and_dc
195,40_2_factory_1,2.0,1801.0,3473.0,1672.0,0.9283731260410882,1,feasible_and_dc
