,Enzyme name,Fermenter,Enzyme,Stab,MF,Equipment_type,Machine,Start use,End use,Claim time,Release time,Duration use,Duration claim
655,MAM,1,10998,0.0,0.0,Harvest tank V01,V01F,16868.1,16941.092397,16828.0,16941.092397,72.9923970000018,113.09239700000035
656,MAM,1,10998,0.0,0.0,FAM,FAM1,16919.999998,16941.092397,16917.599998,16941.092397,21.092399000001024,23.49239899999884
657,MAM,1,10998,0.0,0.0,Harvest tank V01,V01B,16909.4,16948.867848,16909.4,16948.867848,39.46784800000023,39.46784800000023
658,MAM,1,10998,0.0,0.0,FAM,FAM2,16933.399999,16948.867848,16930.999999,16948.867848,15.46784900000057,17.867849000002025
659,MAM,1,10998,0.0,0.0,UF,UF8/9,16924.423098,16954.39885,16919.999998,16954.39885,29.975752000002103,34.39885200000208
660,MAM,1,10998,0.0,0.0,F+L,V18-19-20,16919.999998,16954.39885,16917.599998,16954.39885,34.39885200000208,36.7988519999999
661,MAM,1,10998,0.0,0.0,F+L,V25-26-27,16932.18683,16956.619674,16932.186553,16956.619674,24.43284400000266,24.433121000001847
662,MAM,1,10998,0.0,0.0,UF,UF11/12,16934.714317,16964.690069,16932.18683,16964.690069,29.975751999998465,32.503239000001486
663,MAM,1,10998,0.0,0.0,F+L,V28-29-30,16945.586832,16964.690069,16945.586554,16964.690069,19.103236999999353,19.10351499999888
664,MAM,1,10998,0.0,0.0,UF,UF14/15,16937.8231,16967.798853,16933.399999,16967.798853,29.975752999998804,34.39885399999912
665,MAM,1,10998,0.0,0.0,F+L,V21-22-23,16933.399999,16967.798853,16930.999999,16967.798853,34.39885399999912,36.798854000000574
666,MAM,1,10998,0.0,0.0,V300,V301,16954.39885,17055.798848,16954.39885,17056.798848,101.39999799999714,102.39999799999714
688,CIN,3,17510,100.0,100.0,Harvest tank E,E2,16977.0,16985.1,16961.0,16985.1,8.099999999998545,24.099999999998545
689,CIN,3,17510,100.0,100.0,Harvest tank V01,V01A,17019.0,17128.072124,16961.0,17128.072124,109.07212399999844,167.07212399999844
690,CIN,3,17510,100.0,100.0,Harvest tank E,E1,16961.0,17019.0,16961.0,17019.0,58.0,58.0
691,CIN,3,17510,100.0,100.0,MF,MF1,17019.0,17128.072124,17019.0,17128.072124,109.07212399999844,109.07212399999844
692,CIN,3,17510,100.0,100.0,UF,UF8/9,17024.345012,17144.176238,17019.0,17144.176238,119.83122599999842,125.17623800000001
693,CIN,3,17510,100.0,100.0,F+L,V18-19-20,17019.0,17144.176238,17019.0,17144.176238,125.17623800000001,125.17623800000001
694,CIN,3,17510,100.0,100.0,Fermenter,V200,16919.0,17058.004366,16919.0,17069.004366,139.00436600000103,150.00436600000103
695,CIN,3,17510,100.0,100.0,UF,UF11/12,17034.690927,17154.522153,17029.345915,17154.522153,119.83122600000206,125.17623800000001
696,CIN,3,17510,100.0,100.0,F+L,V21-22-23,17029.345915,17154.522153,17029.345637,17154.522153,125.17623800000001,125.17651600000318
697,CIN,3,17510,100.0,100.0,UF,UF14/15,17042.746122,17123.629104,17039.691829,17123.629104,80.88298199999917,83.93727500000023
698,CIN,3,17510,100.0,100.0,F+L,V25-26-27,17039.691829,17110.992469,17039.691552,17110.992469,71.3006400000013,71.30091700000048
699,CIN,3,17510,100.0,100.0,F+L,V28-29-30,17050.037744,17123.629104,17050.037466,17123.629104,73.59135999999853,73.59163799999806
700,CIN,3,17510,100.0,100.0,UF,UF7,17055.382757,17086.833409,17050.037744,17086.833409,31.450651999999536,36.795664999997825
701,CIN,3,17510,100.0,100.0,V300,V301,17050.037744,17197.647452,17050.037744,17198.647452,147.60970799999996,148.60970799999996
702,CIN,3,17510,100.0,100.0,V300,V302,17110.992469,17246.522148,17110.992469,17247.522148,135.5296789999993,136.5296789999993
788,FRO,4,4584,100.0,0.0,Harvest tank V01,V01A,16988.0,17038.839599,16983.0,17038.839599,50.839598999999,55.839598999999
789,FRO,4,4584,100.0,0.0,FAM,FAM1,17019.999999,17070.839906,17019.199999,17070.839906,50.8399070000014,51.639907000000676
790,FRO,4,4584,100.0,0.0,Harvest tank E,E1,16983.0,17044.0,16983.0,17044.0,61.0,61.0
791,FRO,4,4584,100.0,0.0,F+L,V18-19-20,17019.999999,17082.775525,17019.199999,17082.775525,62.775526000001264,63.575526000000536
792,FRO,4,4584,100.0,0.0,Harvest tank V01,V01B,17044.0,17070.839906,16983.0,17070.839906,26.839906000001065,87.83990600000106
793,FRO,4,4584,100.0,0.0,Harvest tank V01,V01C,17048.0,17093.970657,17037.0,17093.970657,45.970657000001665,56.970657000001665
794,FRO,4,4584,100.0,0.0,UF,UF8/9,17024.34817,17112.869116,17019.999999,17112.869116,88.52094600000055,92.869117000002
795,FRO,4,4584,100.0,0.0,F+L,V21-22-23,17052.0,17112.869116,17051.2,17112.869116,60.86911600000167,61.66911600000094
796,FRO,4,4584,100.0,0.0,Fermenter,V218,16938.0,17048.0,16938.0,17055.0,110.0,117.0
797,FRO,4,4584,100.0,0.0,FAM,FAM2,17056.0,17093.970657,17055.2,17093.970657,37.970657000001665,38.77065700000094
798,FRO,4,4584,100.0,0.0,UF,UF11/12,17058.280741,17088.374332,17053.932569,17088.374332,30.093591000000742,34.4417629999989
799,FRO,4,4584,100.0,0.0,F+L,V25-26-27,17056.0,17088.374332,17055.2,17088.374332,32.37433199999941,33.174331999998685
800,FRO,4,4584,100.0,0.0,V300,V301,17051.642358,17204.869113,17051.642358,17205.869113,153.22675499999968,154.22675499999968
801,CLI,5,26773,0.0,100.0,Harvest tank V01,V01A,17061.0,17072.497526,17046.3,17072.497526,11.497525999999198,26.197525999999925
802,CLI,5,26773,0.0,100.0,MF,MF1,17061.0,17072.497526,17061.0,17072.497526,11.497525999999198,11.497525999999198
803,CLI,5,26773,0.0,100.0,Fermenter,V42,16914.0,17061.0,16914.0,17076.0,147.0,162.0
804,CLI,5,26773,0.0,100.0,UF,UF8/9,17064.992187,17102.792182,17061.0,17102.792182,37.79999500000122,41.79218200000105
805,CLI,5,26773,0.0,100.0,F+L,V18-19-20,17061.0,17102.792182,17061.0,17102.792182,41.79218200000105,41.79218200000105
806,CLI,5,26773,0.0,100.0,V300,V301,17102.792182,17190.792173,17102.792182,17191.792173,87.99999100000059,88.99999100000059
807,PHY,5,4740,0.0,0.0,Harvest tank V01,V01A,17004.0,17016.096096,16995.0,17016.096096,12.096096000001126,21.096096000001126
808,PHY,5,4740,0.0,0.0,Fermenter,V42,16914.0,17004.0,16914.0,17010.0,90.0,96.0
809,PHY,5,4740,0.0,0.0,FAM,FAM1,17004.0,17016.096096,17004.0,17016.096096,12.096096000001126,12.096096000001126
810,PHY,5,4740,0.0,0.0,UF,UF8/9,17007.5993,17032.804159,17004.0,17032.804159,25.20485899999767,28.804158999999345
811,PHY,5,4740,0.0,0.0,F+L,V18-19-20,17004.0,17032.804159,17004.0,17032.804159,28.804158999999345,28.804158999999345
812,PHY,5,4740,0.0,0.0,V300,V301,17032.804159,17120.80415,17032.804159,17121.80415,87.99999100000059,88.99999100000059
825,INV,3,10244,100.0,0.0,Harvest tank E,E1,16919.0,17000.0,16919.0,17000.0,81.0,81.0
826,INV,3,10244,100.0,0.0,Harvest tank V01,V01A,17009.0,17045.681261,17000.0,17045.681261,36.68126100000154,45.68126100000154
827,INV,3,10244,100.0,0.0,Harvest tank V01,V01B,17009.0,17036.873617,17000.0,17036.873617,27.873617000001104,36.873617000001104
